Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;14.03.2004;Parma;Brescia;2;2;D;1;1;D;1.833;03.sty;4;01.wrz;3;04.lut;sty.85;3;03.sie;1.909;3;mar.75;sty.91;03.sty;mar.75;sty.91;03.sty;mar.75;sty.83;lut.87;kwi.33;sty.85;sty.85;2;01.sie;01.wrz;sty.75;-0.5;02.maj;01.sie;-0.5;02.sty;01.sie;-0.5
I1;14.03.2004;Perugia;Modena;1;1;D;0;1;A;2;3;03.maj;sty.85;3;04.maj;sty.85;02.sie;04.lut;1.909;2.875;4;2;3;03.cze;2;3;03.cze;2;02.sie;mar.75;sty.85;sty.85;sty.95;sty.85;sty.85;01.sie;-0.5;2;sty.85;-0.5;02.sty;01.sie;-0.5
I1;14.03.2004;Reggina;Roma;0;0;D;0;0;D;5;03.kwi;1.615;maj.85;mar.35;01.cze;04.cze;03.lut;sty.65;05.maj;2.875;1.667;5;03.lut;sty.67;5;03.lut;sty.67;05.maj;03.sty;sty.61;sty.85;sty.85;2;01.sie;02.maj;01.sie;0.75;sty.95;01.wrz;0.75;2.025;1.875;0.75
I1;14.03.2004;Siena;Ancona;3;2;H;3;1;H;1.444;03.cze;7;sty.42;4;7;01.kwi;03.lip;06.maj;01.maj;mar.25;06.maj;sty.44;03.cze;7;sty.44;03.cze;7;01.kwi;03.maj;8;sty.85;sty.85;sty.95;sty.85;02.maj;01.sie;-1.25;sty.95;01.wrz;-1.25;2.075;1.825;-1.25
I1;20.03.2004;Milan;Parma;3;1;H;1;0;H;01.kwi;4;9;01.kwi;03.wrz;lip.75;sty.45;03.cze;05.sie;1.364;mar.75;8;01.kwi;mar.75;07.maj;01.kwi;mar.75;07.maj;sty.36;mar.75;8;sty.77;sty.95;01.sie;2;sty.92;sty.92;-1;sty.95;01.wrz;-1;1.925;1.975;-1
I1;20.03.2004;Udinese;Juventus;0;0;D;0;0;D;mar.25;3;02.mar;3;3;02.mar;02.wrz;02.sie;02.mar;03.lut;02.sie;02.lut;3;3;lut.25;3;3;lut.25;02.wrz;02.wrz;02.mar;01.wrz;sty.79;2;01.sie;sty.77;02.sty;0.25;01.sie;02.maj;0.25;1.825;2.075;0.25
I1;21.03.2004;Ancona;Inter;0;2;A;0;0;D;05.maj;03.kwi;1.571;06.maj;mar.55;01.maj;05.sie;03.cze;sty.45;05.maj;mar.25;1.571;05.maj;03.maj;sty.53;05.maj;03.maj;sty.53;7;03.lut;01.maj;sty.79;sty.95;sty.95;sty.85;2;sty.85;1;2;sty.85;1;2.025;1.875;1
I1;21.03.2004;Bologna;Brescia;3;0;H;1;0;H;02.lut;3;03.kwi;lut.15;02.wrz;mar.45;02.sty;02.lip;03.maj;02.sty;2.625;mar.75;02.lut;lut.88;03.lut;02.lut;lut.87;03.lut;02.lut;lut.75;mar.25;sty.85;sty.85;2;01.sie;sty.85;2;-0.25;sty.85;2;-0.25;sty.95;sty.95;-0.25
I1;21.03.2004;Chievo;Siena;1;1;D;0;0;D;01.sie;3;4.333;sty.85;3;04.kwi;01.wrz;02.lip;04.lut;01.sie;2.875;04.maj;01.sie;3;04.maj;01.sie;3;04.maj;sty.83;lut.87;kwi.33;01.wrz;sty.79;02.maj;sty.75;lut.15;sty.73;-0.75;02.sty;sty.75;-0.75;01.sie;02.sty;-0.5
I1;21.03.2004;Empoli;Sampdoria;1;1;D;0;1;A;02.maj;2.875;lut.75;02.maj;02.sie;02.wrz;02.kwi;02.lip;02.wrz;2.375;lut.75;3;02.maj;02.sie;02.sie;02.maj;02.sie;02.sie;02.maj;lut.75;02.sie;02.maj;sty.65;02.lut;sty.65;sty.77;02.sty;0;01.sie;02.maj;0;sty.85;02.maj;0
I1;21.03.2004;Lecce;Perugia;1;2;A;0;1;A;2;3;03.maj;lut.15;lut.85;03.maj;02.sty;02.lip;03.maj;2;2.875;03.cze;2;3;03.maj;2;3;03.maj;01.wrz;lut.87;4;01.wrz;01.sie;02.maj;sty.75;sty.83;02.maj;-0.25;01.sie;02.maj;-0.25;1.775;2.125;-0.25
I1;21.03.2004;Modena;Reggina;1;2;A;0;2;A;2;3;03.maj;02.sty;02.sie;03.lip;02.sty;02.lip;03.maj;2;02.cze;4.333;02.sty;lut.88;03.kwi;02.sty;lut.87;03.kwi;02.sty;02.sie;03.kwi;02.maj;sty.65;02.sty;01.lip;02.sty;sty.59;-0.5;02.sty;sty.75;-0.5;01.sie;02.sty;-0.25
I1;25.03.2004;Bologna;Lazio;2;1;H;1;1;D;lut.87;3;lut.25;lut.87;3;lut.25;02.wrz;02.lip;02.kwi;lut.62;lut.88;02.maj;02.sie;3;lut.38;lut.75;3;lut.38;03.sty;lut.87;02.lut;2;sty.71;;;01.maj;02.mar;0.5;sty.85;2;0.25;01.sie;02.sty;0.25
I1;28.03.2004;Brescia;Ancona;5;2;H;3;2;H;01.mar;4.333;08.maj;sty.33;04.lut;10.maj;01.mar;04.lut;8;1.364;03.cze;9;sty.33;04.lut;8;sty.33;04.lut;8;01.lut;5;11;sty.79;01.wrz;01.sie;2;sty.92;sty.92;-1.5;;;;2;01.wrz;-1.5
I1;28.03.2004;Juventus;Modena;3;1;H;0;0;D;1.286;04.maj;08.maj;01.mar;kwi.25;12;01.mar;04.lut;8;01.mar;4;10;sty.25;kwi.75;10;sty.25;kwi.75;10;sty.16;05.maj;12;sty.79;01.wrz;sty.85;sty.95;2;sty.85;-1.5;2;sty.85;-1.5;2;01.wrz;-1.5
I1;28.03.2004;Milan;Chievo;2;2;D;0;2;A;1.286;04.maj;08.maj;sty.33;04.lut;10.maj;01.mar;04.lut;8;1.222;5;10;01.mar;kwi.33;08.maj;01.mar;kwi.33;08.maj;sty.22;5;09.maj;sty.85;sty.85;sty.85;sty.95;01.sie;02.maj;-1.25;01.sie;02.maj;-1.25;01.sie;02.sty;-1.25
I1;28.03.2004;Parma;Empoli;4;0;H;1;0;H;1.727;3;5;sty.76;03.lut;kwi.85;01.lip;3;04.cze;1.727;2.875;5;01.lip;03.sty;5;01.lip;03.sty;5;sty.66;03.sty;5;sty.95;sty.75;2;01.sie;sty.76;sty.93;-0.5;01.sie;02.maj;-0.5;1.825;2.075;-0.5
I1;28.03.2004;Perugia;Lazio;1;2;A;0;1;A;3;3;lut.25;mar.15;lut.95;lut.25;03.sty;02.sie;02.lut;2.875;3;lut.25;3;3;lut.25;3;3;lut.25;03.lut;02.sie;02.lut;sty.95;sty.75;2;01.sie;sty.52;lut.25;0.5;sty.85;2;0.25;1.875;2.025;0.25
I1;28.03.2004;Reggina;Inter;0;2;A;0;1;A;03.lut;2.875;02.lut;03.lut;mar.15;02.lut;03.sty;02.sie;02.lut;2.875;3;lut.25;mar.25;3;02.sty;mar.25;3;02.sty;03.mar;lut.87;02.sty;2;sty.71;02.sty;01.lip;sty.95;01.wrz;0.25;sty.95;01.wrz;0.25;2;01.wrz;0.25
I1;28.03.2004;Roma;Bologna;1;2;A;1;1;D;1.364;4.333;9;sty.33;04.lut;10.maj;sty.25;04.maj;9;1.364;mar.75;8;01.mar;kwi.33;08.maj;01.mar;kwi.33;08.maj;sty.25;04.maj;10;sty.85;sty.85;01.wrz;01.wrz;sty.95;01.wrz;-1.25;sty.95;01.wrz;-1.25;1.925;1.975;-1.25
I1;28.03.2004;Sampdoria;Lecce;2;2;D;2;1;H;01.sie;3;4.333;01.sie;03.sty;04.sie;01.lip;3;04.maj;1.727;2.875;5;01.sie;3;04.maj;01.sie;3;04.maj;sty.72;02.wrz;5;01.wrz;sty.79;2;01.sie;01.sie;sty.89;-0.5;01.wrz;sty.95;-0.5;1.925;1.975;-0.5
I1;28.03.2004;Siena;Udinese;1;0;H;1;0;H;02.maj;lut.75;2.875;lut.55;lut.95;02.sie;02.cze;02.sie;02.cze;02.maj;lut.75;lut.75;02.maj;02.sie;02.sie;02.maj;02.sie;02.sie;02.cze;02.sie;02.cze;2;sty.71;02.maj;sty.75;01.sie;02.maj;0;02.maj;01.sie;-0.25;2.125;1.775;-0.25
I1;04.04.2004;Ancona;Sampdoria;0;1;A;0;1;A;05.maj;03.kwi;1.533;06.sty;03.kwi;sty.55;04.cze;03.kwi;01.cze;;;;5;03.lut;sty.67;05.maj;03.lut;sty.61;06.maj;03.sty;sty.53;01.wrz;sty.79;;;;;;;;;;;
I1;04.04.2004;Bologna;Reggina;2;2;D;1;2;A;01.sie;3;4.333;sty.82;02.wrz;04.lip;01.wrz;02.lip;04.lut;1.727;2.875;5;sty.83;lut.88;04.maj;sty.83;lut.87;04.maj;01.sie;02.lip;5;sty.85;sty.85;sty.95;sty.85;sty.82;sty.79;-0.5;sty.95;01.wrz;-0.5;sty.95;sty.95;-0.5
I1;04.04.2004;Chievo;Parma;0;2;A;0;1;A;02.mar;3;2.875;lut.35;02.wrz;3;02.cze;02.sie;02.cze;02.kwi;02.sie;2.875;02.kwi;02.sie;02.wrz;02.kwi;02.sie;02.wrz;02.maj;lut.75;02.sie;sty.79;01.wrz;2;01.sie;02.sty;sty.77;-0.25;02.maj;01.sie;-0.25;02.sty;01.sie;-0.25
I1;04.04.2004;Empoli;Perugia;1;0;H;0;0;D;02.lut;3;03.sty;02.lut;3;03.sty;02.lut;02.sie;03.sty;02.lut;3;3;lut.25;02.sie;03.lut;lut.25;02.sie;03.lut;lut.25;3;lut.87;2;sty.71;2;01.sie;2;sty.85;-0.25;sty.95;01.wrz;-0.25;2.025;1.875;-0.25
I1;04.04.2004;Inter;Juventus;3;2;H;2;1;H;2.625;3;lut.75;lut.55;lut.85;lut.75;02.cze;02.sie;02.cze;02.maj;2.875;2.625;02.maj;02.sie;02.sie;02.maj;02.sie;02.sie;02.maj;02.wrz;lut.62;sty.85;sty.85;2;01.sie;sty.91;sty.93;0;01.wrz;sty.95;0;1.925;1.975;0
I1;04.04.2004;Lazio;Siena;5;2;H;3;2;H;1.364;mar.75;08.maj;01.kwi;03.lip;08.mar;sty.45;03.cze;05.sie;01.kwi;03.maj;8;sty.36;mar.75;08.maj;sty.36;mar.75;08.maj;sty.36;mar.75;8;sty.65;02.maj;01.sie;2;01.sie;02.maj;-1;sty.75;02.sty;-1;02.sty;01.sie;-1.25
I1;04.04.2004;Lecce;Roma;0;3;A;0;0;D;04.maj;03.lut;1.833;04.mar;3;sty.85;4;3;01.sie;mar.75;3;1.909;4;03.sty;sty.83;4;03.sty;sty.83;04.lut;3;01.sie;sty.85;sty.85;02.sty;01.lip;;;;2;sty.85;0.5;2.025;1.875;0.5
I1;04.04.2004;Modena;Milan;1;1;D;0;1;A;05.maj;mar.25;1.571;05.sie;mar.25;01.cze;04.lut;03.sty;sty.75;6;3;1.615;05.maj;03.lut;sty.62;05.maj;03.lut;sty.61;05.maj;03.mar;sty.57;sty.71;2;sty.95;sty.85;2;sty.85;0.75;sty.95;01.wrz;0.75;2;01.wrz;0.75
I1;04.04.2004;Udinese;Brescia;4;3;H;3;1;H;1.909;02.wrz;4;sty.95;02.sie;kwi.25;01.wrz;02.lip;04.lut;1.833;2.875;4.333;sty.91;02.wrz;4;01.wrz;02.wrz;4;01.wrz;lut.75;04.lut;sty.85;sty.85;02.maj;sty.75;;;;02.maj;01.sie;-0.5;02.sty;01.sie;-0.5
I1;10.04.2004;Ancona;Bologna;3;2;H;1;1;D;;;;06.cze;03.maj;01.maj;;;;06.maj;3;1.571;6;03.kwi;sty.53;6;03.kwi;sty.53;06.maj;03.cze;sty.44;sty.85;sty.85;;;sty.77;02.sty;1;;;;;;
I1;10.04.2004;Brescia;Modena;0;0;D;0;0;D;1.833;2.875;04.maj;01.wrz;lut.65;5;01.wrz;02.lip;04.lut;01.sie;2.875;04.maj;01.sie;lut.88;kwi.75;01.sie;lut.87;kwi.75;01.wrz;lut.62;04.maj;sty.85;sty.85;01.wrz;01.wrz;sty.73;-0.5;;sty.95;01.wrz;-0.5;2.025;1.875;-0.5
I1;10.04.2004;Juventus;Lazio;1;0;H;0;0;D;02.sty;03.sty;03.cze;02.maj;3;03.cze;02.sty;02.lip;03.maj;2;2.875;03.cze;sty.91;03.sty;mar.75;01.wrz;03.sty;mar.75;01.wrz;3;mar.75;sty.71;2;sty.95;sty.85;01.sie;02.maj;-0.25;02.maj;01.sie;-0.5;01.sie;02.sty;-0.25
I1;10.04.2004;Milan;Empoli;1;0;H;0;0;D;01.lut;05.maj;10;sty.25;5;10;sty.22;04.sie;09.maj;sty.25;04.maj;10;01.lut;05.lut;11;01.lut;05.lut;11;01.lut;5;11;sty.75;sty.95;sty.75;02.maj;2;sty.85;-1.5;2;sty.85;-1.5;1.975;1.925;-1.5
I1;10.04.2004;Parma;Lecce;3;1;H;2;0;H;1.727;3;5;01.lip;03.lut;5;sty.75;03.sty;04.lut;1.727;03.lut;4.333;sty.67;03.lut;5;sty.66;03.lut;5;sty.66;03.sty;5;sty.75;sty.95;sty.85;sty.95;2;sty.85;-0.75;01.sie;02.maj;-0.5;sty.85;02.maj;-0.5
I1;10.04.2004;Reggina;Udinese;0;1;A;0;0;D;2.375;2.875;2.875;02.maj;02.lip;3;02.kwi;02.sie;02.sie;2.375;02.sie;2.875;02.kwi;02.sie;02.wrz;02.kwi;02.sie;02.wrz;02.kwi;lut.75;02.wrz;;;02.sty;01.lip;02.sty;sty.77;-0.25;02.maj;01.sie;-0.25;2.125;1.775;-0.25
I1;10.04.2004;Roma;Chievo;3;1;H;1;1;D;1.571;03.kwi;7;sty.57;mar.25;6;01.maj;03.maj;05.kwi;01.maj;03.kwi;6;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;01.maj;03.mar;06.maj;sty.75;sty.95;2;01.sie;02.maj;01.sie;-1;02.maj;01.sie;-1;02.sty;01.sie;-1
I1;10.04.2004;Siena;Sampdoria;0;0;D;0;0;D;lut.25;02.sie;03.lut;02.kwi;lut.63;mar.25;02.kwi;02.cze;3;2.375;lut.75;3;lut.38;02.sie;3;lut.37;02.sie;3;02.kwi;02.lip;3;02.maj;sty.65;02.sty;01.lip;02.sty;sty.77;-0.25;02.maj;01.sie;-0.25;02.sty;01.sie;-0.25
I1;11.04.2004;Perugia;Inter;2;3;A;0;1;A;mar.75;03.lut;2;03.cze;3;02.maj;03.cze;02.sie;2;03.maj;03.lut;1.909;mar.75;lut.88;2;mar.75;lut.87;2;mar.75;3;01.wrz;sty.75;sty.95;sty.85;sty.95;02.maj;01.sie;0.25;02.maj;01.sie;0.25;02.maj;sty.85;0.25
