Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;25.04.2004;Roma;Empoli;3;0;H;1;0;H;01.mar;kwi.33;8;sty.35;mar.75;10.maj;sty.35;4;7;sty.33;mar.75;9;;;;sty.33;kwi.33;07.maj;01.mar;kwi.33;8;sty.71;2;01.wrz;01.wrz;01.wrz;sty.95;-1.25;sty.95;01.wrz;-1.25;2;01.wrz;-1.25
I1;25.04.2004;Udinese;Milan;0;0;D;0;0;D;;;;kwi.25;lut.65;02.maj;03.cze;02.cze;02.sty;03.kwi;lut.62;lut.25;;;;03.kwi;lut.62;lut.25;03.maj;02.cze;02.lut;2;sty.71;;;01.lip;02.maj;0.5;sty.85;2;0.5;;;
I1;02.05.2004;Chievo;Modena;2;0;H;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;02.05.2004;Empoli;Bologna;2;0;H;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;02.05.2004;Lazio;Reggina;1;1;D;1;0;H;sty.36;4;7;sty.35;03.sie;07.kwi;01.kwi;03.wrz;6;sty.44;03.kwi;7;sty.44;mar.75;6;sty.36;mar.75;8;sty.44;mar.75;6;sty.79;01.wrz;;;sty.35;lut.51;-0.5;01.sie;02.maj;-1;01.sie;02.sty;-1
I1;02.05.2004;Lecce;Inter;2;1;H;0;1;A;03.cze;lut.87;2;03.maj;lut.85;2;03.cze;3;01.wrz;03.lut;02.sie;02.lut;mar.25;02.wrz;02.sty;03.cze;lut.87;2;mar.25;02.wrz;02.sty;sty.71;2;;;sty.57;2;0.5;sty.95;01.wrz;0.25;02.maj;sty.85;0.25
I1;02.05.2004;Milan;Roma;1;0;H;1;0;H;lut.25;lut.87;03.maj;02.lut;lut.95;mar.25;02.sty;02.wrz;03.lut;2;3;03.kwi;02.lut;lut.88;03.lut;02.lut;lut.87;03.sty;02.lut;lut.88;03.lut;sty.85;sty.85;2;01.sie;sty.95;01.wrz;-0.25;sty.95;01.wrz;-0.25;2;01.wrz;-0.25
I1;02.05.2004;Parma;Ancona;3;1;H;3;1;H;;;;01.lip;7;16;01.sty;7;15;;;;01.sty;06.maj;15;01.lip;07.maj;17;01.sty;06.maj;15;;;;;;;;;;;;;
I1;02.05.2004;Perugia;Juventus;1;0;H;0;0;D;03.kwi;3;2;03.mar;lut.85;02.maj;03.sty;3;02.sty;02.sie;03.lut;02.lut;03.kwi;3;2;03.kwi;02.sie;02.sty;03.kwi;3;2;sty.65;02.maj;;;sty.53;02.maj;0.5;;;;;;
I1;02.05.2004;Sampdoria;Udinese;1;3;A;0;1;A;02.sty;02.sie;03.kwi;02.sie;02.lip;mar.45;02.sty;02.lip;03.maj;2;3;03.kwi;02.lut;lut.75;mar.25;02.sty;lut.75;03.maj;02.lut;lut.75;mar.25;01.wrz;sty.79;;;02.sie;sty.51;-0.5;sty.95;01.wrz;-0.25;;;
I1;02.05.2004;Siena;Brescia;0;1;A;0;0;D;;;;;;;02.mar;02.kwi;03.kwi;;;;lut.25;02.maj;03.cze;02.sty;02.kwi;kwi.25;lut.25;lut.38;4;;;;;lut.22;sty.45;-0.5;;;;;;
I1;09.05.2004;Ancona;Empoli;2;1;H;1;0;H;02.cze;02.sie;02.cze;02.lip;02.lip;02.maj;02.sie;02.sie;02.lut;;;;;;;;;;02.wrz;lut.85;lut.25;;;;;;;;;;;;;
I1;09.05.2004;Bologna;Lecce;1;1;D;1;0;H;02.sty;02.maj;4;02.lut;lut.35;mar.85;;;;02.sty;02.maj;4;;;;02.lut;02.maj;mar.75;02.sty;02.maj;4;sty.85;sty.85;;;02.lut;sty.46;-0.5;01.wrz;sty.95;-0.25;;;
I1;09.05.2004;Brescia;Lazio;2;1;H;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;09.05.2004;Inter;Parma;1;0;H;0;0;D;01.wrz;03.lut;4;01.sie;03.lut;mar.85;01.wrz;3;03.cze;2;3;03.kwi;sty.83;03.sty;4;sty.85;03.sty;4;sty.83;3;4;sty.79;01.wrz;sty.85;sty.95;01.sie;sty.75;-0.5;2;sty.85;-0.5;;;
I1;09.05.2004;Juventus;Sampdoria;2;0;H;2;0;H;sty.66;03.sty;5;01.lip;3;04.mar;01.lip;3;04.cze;sty.73;03.lut;kwi.33;;;;sty.67;03.sty;5;sty.66;03.sty;5;01.wrz;sty.79;;;01.lip;sty.77;-0.5;01.sie;02.maj;-0.75;;;
I1;09.05.2004;Modena;Siena;1;3;A;0;1;A;2;02.sie;mar.75;sty.95;lut.85;mar.75;01.wrz;02.sie;4;sty.91;lut.88;4;2;lut.88;mar.75;2;lut.88;mar.75;2;02.sie;mar.75;02.maj;sty.65;;;sty.95;sty.62;-0.5;;;;;;
I1;09.05.2004;Reggina;Milan;2;1;H;2;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;09.05.2004;Roma;Perugia;1;3;A;1;2;A;;;;02.sty;03.cze;02.maj;;;;;;;;;;;;;02.sty;03.maj;lut.75;;;;;;;;;;;;;
I1;09.05.2004;Udinese;Chievo;1;1;D;1;1;D;;;;sty.32;4;07.maj;sty.35;4;7;;;;;;;;;;01.mar;04.lut;08.maj;;;;;;;;;;;;;
I1;16.05.2004;Chievo;Bologna;2;1;H;2;1;H;;;;02.sty;lut.25;04.maj;01.wrz;02.maj;04.mar;02.lut;2.375;4;;;;02.sty;02.maj;4;02.sty;02.mar;04.cze;sty.65;2;;;;;;;;;;;
I1;16.05.2004;Empoli;Inter;2;3;A;1;1;D;03.cze;4;sty.66;03.lut;04.maj;sty.65;03.lut;03.sty;2;03.maj;mar.75;1.727;;;;03.kwi;4;sty.73;03.cze;4;sty.66;sty.71;sty.95;sty.85;sty.95;sty.87;sty.65;0.5;;;;;;
I1;16.05.2004;Lazio;Modena;2;1;H;1;0;H;;;;sty.85;04.maj;lut.65;;;;1.833;4;3;;;;sty.83;kwi.33;02.sie;01.wrz;04.lut;lut.75;sty.55;02.lut;;;;;;;;;;;
I1;16.05.2004;Lecce;Reggina;2;1;H;2;1;H;;;;02.maj;lut.25;04.sie;01.wrz;02.cze;04.kwi;1.909;2.625;04.maj;;;;2;02.maj;04.lut;02.sty;02.mar;04.cze;sty.71;sty.95;;;;;;;;;;;
I1;16.05.2004;Milan;Brescia;4;2;H;2;0;H;sty.53;3;7;sty.55;lut.85;7;01.wrz;02.kwi;05.maj;1.571;lut.75;8;sty.53;lut.88;08.maj;sty.53;02.wrz;8;01.maj;02.sie;10;sty.65;2;01.sie;2;;;;;;;;;
I1;16.05.2004;Parma;Udinese;4;3;H;0;0;D;;;;sty.35;03.kwi;08.maj;sty.25;04.maj;9;01.mar;4;9;;;;01.kwi;mar.75;7;sty.44;03.lut;08.maj;sty.65;2;;;;;;;;;;;
I1;16.05.2004;Perugia;Ancona;1;0;H;0;0;D;;;;;;;sty.25;04.maj;9;;;;;;;;;;;;;;;;;;;;;;;;;
I1;16.05.2004;Sampdoria;Roma;0;0;D;0;0;D;;;;2;02.sie;03.maj;02.mar;02.sie;02.wrz;01.sie;mar.25;mar.75;;;;;;;;;;sty.65;2;;;;;;;;;;;
I1;16.05.2004;Siena;Juventus;1;3;A;1;2;A;;;;lut.65;lut.45;lut.85;02.sie;02.sie;02.kwi;lut.75;3;2.375;;;;;;;02.cze;02.maj;02.wrz;sty.71;sty.95;;;;;;;;;;;
