Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;22.01.2003;Nantes;Sedan;4;1;H;0;0;D;sty.66;03.sty;5;01.lip;03.mar;kwi.65;sty.75;03.sty;04.lut;sty.73;03.lut;kwi.33;sty.73;03.lut;04.maj;sty.66;03.mar;04.maj;01.wrz;01.lip
F1;22.01.2003;Nice;Paris SG;0;0;D;0;0;D;02.sty;3;03.lut;lut.15;03.maj;mar.15;02.mar;02.sie;02.wrz;02.sty;3;03.lut;02.sty;3;mar.25;02.sty;3;03.lut;02.sty;sty.57
F1;22.01.2003;Rennes;Bastia;0;1;A;0;0;D;sty.72;03.lut;kwi.33;01.lip;03.mar;kwi.65;01.sie;02.wrz;04.lut;sty.83;03.kwi;03.maj;sty.83;03.sty;4;sty.66;03.mar;04.maj;sty.95;sty.65
F1;28.01.2003;Marseille;Nice;2;0;H;1;0;H;1.833;3;4;sty.85;03.sty;04.lut;01.sie;3;4;sty.91;3;mar.75;sty.85;03.sty;4;sty.72;03.sty;04.maj;sty.95;sty.65
F1;29.01.2003;Bastia;Auxerre;2;0;H;0;0;D;2.375;2.875;02.sie;02.kwi;03.sty;lut.75;02.kwi;02.wrz;02.lip;02.kwi;mar.25;02.maj;2.375;3;02.sie;lut.25;3;lut.87;01.wrz;01.lip
F1;29.01.2003;Guingamp;Le Havre;1;2;A;0;0;D;1.727;03.sty;04.maj;01.lip;03.sty;maj.15;01.sie;3;4;sty.72;03.lut;kwi.33;1.727;03.lut;04.maj;sty.66;03.sty;5;02.maj;01.cze
F1;29.01.2003;Lens;Lyon;2;2;D;2;2;D;02.kwi;2.875;02.sie;lut.35;03.maj;lut.85;02.mar;02.wrz;02.sie;lut.37;3;lut.75;02.mar;03.sty;02.sie;02.mar;3;02.sie;01.wrz;01.lip
F1;29.01.2003;Montpellier;Ajaccio;0;1;A;0;0;D;2;3;03.kwi;2;03.maj;03.cze;02.sty;02.cze;03.cze;2;3;03.kwi;2;3;03.cze;01.wrz;3;mar.75;sty.95;sty.65
F1;29.01.2003;Nantes;Monaco;0;2;A;0;1;A;02.sty;3;03.lut;lut.15;3;03.mar;02.lut;02.sie;03.sty;02.sty;03.lut;3;02.lut;3;03.sty;2;lut.87;03.cze;sty.85;sty.75
F1;29.01.2003;Paris SG;Lille;1;0;H;0;0;D;1.727;03.sty;04.maj;01.lip;03.sty;maj.15;01.lip;03.sty;04.kwi;sty.61;mar.25;5;1.615;03.lut;05.maj;sty.72;02.wrz;5;01.wrz;01.lip
F1;29.01.2003;Sedan;Strasbourg;2;1;H;2;0;H;02.lut;3;3;lut.15;3;03.mar;2;3;03.mar;02.sty;03.lut;3;02.lut;3;03.sty;02.sty;3;03.lut;02.maj;01.cze
F1;29.01.2003;Sochaux;Rennes;1;0;H;1;0;H;1.727;03.sty;04.maj;sty.75;03.sty;kwi.75;01.lip;03.sty;04.kwi;sty.73;03.kwi;4;1.667;03.lut;5;sty.72;03.sty;04.maj;sty.95;sty.65
F1;29.01.2003;Troyes;Bordeaux;0;1;A;0;1;A;2.625;2.875;02.maj;lut.65;3;lut.55;02.wrz;02.sie;02.mar;lut.75;03.lut;lut.25;02.cze;3;02.maj;lut.62;02.wrz;02.maj;02.maj;01.cze
F1;01.02.2003;Ajaccio;Bastia;1;1;D;1;0;H;lut.25;lut.87;3;lut.25;lut.95;mar.15;02.lut;02.sie;03.sty;lut.37;3;lut.75;lut.25;lut.88;03.sty;lut.25;3;lut.87;02.sty;sty.55
F1;01.02.2003;Auxerre;Sochaux;2;0;H;1;0;H;sty.72;lut.87;5;sty.75;03.sty;kwi.75;sty.65;03.sty;04.sie;sty.66;mar.25;04.maj;sty.75;03.sty;04.maj;sty.66;03.sty;5;02.sty;sty.55
F1;01.02.2003;Le Havre;Troyes;1;0;H;0;0;D;01.sie;3;kwi.33;01.sie;03.sty;04.maj;sty.85;3;03.sie;01.wrz;3;mar.75;sty.75;03.sty;04.maj;sty.83;3;4;02.sty;sty.55
F1;01.02.2003;Lyon;Nantes;0;0;D;0;0;D;sty.66;mar.25;04.maj;sty.65;03.mar;maj.15;01.cze;03.lut;5;sty.66;mar.25;04.maj;01.cze;mar.25;05.maj;sty.66;03.sty;5;01.sie;01.sie
F1;01.02.2003;Monaco;Sedan;3;0;H;2;0;H;sty.66;lut.87;05.maj;01.cze;mar.35;maj.55;01.cze;03.lut;5;sty.61;mar.25;5;01.cze;03.lut;05.maj;sty.57;03.mar;05.maj;sty.82;sty.75
F1;01.02.2003;Nice;Guingamp;1;0;H;1;0;H;sty.72;03.lut;kwi.33;01.sie;03.lut;kwi.25;01.sie;3;4;sty.83;03.lut;mar.75;sty.75;03.sty;04.maj;sty.83;03.lut;mar.75;sty.82;sty.75
F1;01.02.2003;Rennes;Lens;1;1;D;1;1;D;lut.25;3;lut.87;02.mar;3;3;02.mar;02.sie;02.wrz;02.sty;3;03.lut;lut.25;3;3;02.sty;lut.87;03.mar;sty.95;sty.65
F1;01.02.2003;Strasbourg;Paris SG;0;1;A;0;0;D;02.maj;lut.87;lut.62;lut.55;3;lut.65;02.cze;02.sie;02.cze;lut.37;3;lut.75;02.maj;3;02.cze;02.mar;02.wrz;02.wrz;sty.88;01.lip
F1;02.02.2003;Bordeaux;Marseille;3;1;H;0;0;D;02.lut;3;3;02.maj;3;mar.55;01.wrz;3;03.cze;2;03.lut;03.lut;02.lut;3;03.sty;2;3;03.kwi;sty.82;sty.75
F1;04.02.2003;Monaco;Lyon;2;0;H;1;0;H;02.sty;3;03.lut;lut.18;3;03.lut;2;3;03.mar;02.lut;3;3;02.lut;3;03.sty;02.lut;3;3;sty.75;sty.85
F1;05.02.2003;Bastia;Paris SG;1;0;H;1;0;H;2.375;3;02.lip;02.mar;3;3;02.mar;02.wrz;02.sie;lut.25;3;lut.88;02.mar;3;2.875;lut.25;3;lut.87;sty.95;sty.65
F1;05.02.2003;Lens;Bordeaux;3;3;D;3;1;H;lut.25;02.wrz;3;lut.18;3;03.lut;02.mar;02.sie;02.wrz;lut.38;3;lut.75;02.lut;3;03.sty;02.sty;3;03.lut;sty.95;sty.65
F1;05.02.2003;Marseille;Le Havre;2;0;H;1;0;H;01.maj;03.kwi;6;01.maj;mar.55;06.maj;sty.55;03.mar;05.lut;01.maj;03.kwi;6;01.maj;03.kwi;06.maj;01.maj;03.mar;06.maj;01.wrz;01.lip
F1;05.02.2003;Montpellier;Strasbourg;2;1;H;1;0;H;02.kwi;3;02.lip;lut.35;lut.95;lut.95;02.lut;02.sie;03.sty;lut.38;3;lut.75;2.375;3;02.sie;lut.37;02.wrz;02.sie;02.maj;01.cze
F1;05.02.2003;Nantes;Rennes;1;0;H;0;0;D;1.727;03.lut;4.333;sty.75;mar.15;kwi.65;01.lip;03.sty;04.kwi;sty.73;03.lut;kwi.33;1.727;03.lut;04.maj;sty.72;mar.25;04.lut;sty.95;sty.65
F1;05.02.2003;Sedan;Auxerre;1;2;A;1;0;H;2.625;2.875;02.maj;02.cze;lut.92;lut.65;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.maj;3;02.cze;02.cze;02.sie;02.cze;01.wrz;01.lip
F1;05.02.2003;Troyes;Nice;1;0;H;1;0;H;02.lip;3;2.375;lut.85;02.wrz;lut.45;02.lip;02.wrz;02.kwi;lut.75;03.lut;lut.25;02.sie;3;2.375;lut.62;02.wrz;02.maj;02.maj;01.cze
F1;08.02.2003;Ajaccio;Marseille;0;2;A;0;1;A;lut.75;02.sie;02.maj;lut.78;3;lut.43;02.lip;02.sie;02.maj;02.maj;03.lut;02.maj;2.875;2.875;2.375;lut.62;02.wrz;02.maj;lut.15;sty.55
F1;08.02.2003;Bordeaux;Bastia;0;2;A;0;1;A;1.667;mar.25;04.maj;sty.65;mar.35;5;01.cze;03.lut;5;01.maj;mar.25;06.maj;1.667;03.lut;5;sty.61;03.mar;5;02.maj;01.cze
F1;08.02.2003;Le Havre;Sedan;2;1;H;1;1;D;1.909;3;mar.75;sty.95;03.maj;03.sie;2;02.wrz;03.kwi;2;3;03.kwi;1.909;3;03.sie;sty.83;3;4;01.wrz;01.lip
F1;08.02.2003;Lille;Lens;0;2;A;0;1;A;02.lut;3;3;lut.23;3;03.sty;02.mar;02.lip;3;02.lut;3;3;lut.25;3;3;lut.25;lut.87;3;lut.15;sty.55
F1;08.02.2003;Lyon;Troyes;0;0;D;0;0;D;1.333;4;8;sty.38;4;07.sie;01.kwi;03.lip;06.maj;sty.25;04.maj;10;01.kwi;mar.75;07.maj;sty.36;mar.75;8;sty.85;sty.75
F1;08.02.2003;Nice;Sochaux;2;2;D;0;1;A;01.sie;3;04.lut;sty.87;mar.15;4;01.wrz;02.wrz;03.sie;sty.66;mar.25;04.maj;sty.75;03.sty;04.maj;sty.72;03.sty;04.maj;01.wrz;01.lip
F1;08.02.2003;Paris SG;Montpellier;1;3;A;1;2;A;01.kwi;03.cze;07.maj;sty.45;mar.65;07.lut;01.maj;03.kwi;05.cze;sty.25;04.maj;10;1.444;03.cze;7;01.maj;03.lut;7;01.sie;01.sie
F1;08.02.2003;Rennes;Monaco;0;0;D;0;0;D;02.lip;3;2.375;02.lip;3;02.maj;02.lip;02.sie;02.maj;02.maj;03.lut;02.maj;02.sie;02.wrz;02.kwi;lut.62;02.wrz;02.maj;02.maj;01.cze
F1;08.02.2003;Strasbourg;Guingamp;3;1;H;0;0;D;2;3;03.kwi;2;mar.15;03.maj;2;02.wrz;03.kwi;02.sty;03.lut;3;02.sty;3;03.mar;01.wrz;03.sty;03.cze;01.sie;01.sie
F1;09.02.2003;Auxerre;Nantes;0;1;A;0;1;A;1.667;mar.25;04.maj;sty.72;mar.25;kwi.65;sty.65;03.lut;04.cze;01.sie;03.lut;4;1.667;03.mar;kwi.75;sty.66;03.mar;04.maj;01.wrz;01.lip
F1;15.02.2003;Nantes;Sochaux;0;1;A;0;0;D;01.sie;03.sty;4;01.wrz;03.sty;4;sty.75;03.sty;04.lut;;;;1.833;03.sty;4;sty.72;03.sty;04.maj;sty.95;sty.65
F1;19.02.2003;Troyes;Lille;2;0;H;1;0;H;02.sty;3;03.lut;lut.15;3;03.mar;02.lut;3;02.wrz;;;;02.sty;3;mar.25;02.sty;3;03.lut;lut.15;sty.55
F1;22.02.2003;Bastia;Nice;1;1;D;1;0;H;01.sie;03.sty;4;sty.83;03.lut;04.sty;sty.75;03.sty;04.lut;01.wrz;03.lut;03.maj;01.sie;03.lut;4;sty.72;03.lut;kwi.33;02.maj;01.cze
F1;22.02.2003;Guingamp;Paris SG;3;2;H;0;1;A;02.kwi;3;02.lip;lut.55;3;lut.65;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.maj;3;2.625;02.lip;3;lut.37;02.maj;01.cze
F1;22.02.2003;Lens;Montpellier;4;0;H;2;0;H;1.667;03.sty;5;sty.68;03.lut;05.lut;01.cze;03.lut;5;01.maj;03.kwi;6;1.667;03.lut;5;sty.61;03.mar;5;sty.85;sty.75
F1;22.02.2003;Lyon;Rennes;4;1;H;2;1;H;1.533;mar.25;6;sty.58;mar.45;maj.65;sty.55;03.mar;05.lut;sty.44;03.cze;06.maj;1.533;03.maj;05.maj;sty.53;mar.25;6;01.wrz;01.lip
F1;22.02.2003;Marseille;Lille;2;0;H;1;0;H;01.maj;03.kwi;6;sty.58;mar.45;05.cze;sty.55;03.mar;05.lut;sty.44;03.cze;06.maj;1.533;03.maj;05.maj;01.maj;03.kwi;6;02.maj;01.cze
