Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;14.03.2003;Sochaux;Ajaccio;1;1;D;1;0;H;sty.57;mar.25;05.maj;sty.58;03.kwi;maj.65;01.cze;03.lut;5;01.maj;03.kwi;6;sty.57;03.kwi;05.maj;sty.53;03.kwi;05.maj;sty.95;sty.65
F1;18.03.2003;Guingamp;Lille;1;0;H;1;0;H;01.wrz;03.sty;03.cze;sty.95;03.maj;mar.85;02.sty;02.sie;03.mar;;;;sty.91;03.sty;mar.75;01.wrz;03.lut;03.maj;lut.15;sty.55
F1;19.03.2003;Strasbourg;Bordeaux;1;1;D;0;0;D;lut.62;lut.87;02.maj;02.lip;3;02.maj;02.sie;02.sie;02.kwi;;;;02.cze;3;02.maj;02.maj;02.wrz;lut.62;lut.15;sty.55
F1;22.03.2003;Ajaccio;Rennes;1;0;H;0;0;D;02.sty;3;03.lut;lut.15;03.maj;mar.25;02.sty;02.sie;03.mar;02.lut;3;3;02.lut;3;03.sty;02.lut;02.sie;03.lut;lut.25;01.maj
F1;22.03.2003;Auxerre;Lens;0;0;D;0;0;D;1.909;3;mar.75;sty.92;03.maj;4;01.wrz;02.wrz;03.sie;01.wrz;3;mar.75;1.909;03.sty;mar.75;01.wrz;3;mar.75;lut.25;01.maj
F1;22.03.2003;Bordeaux;Nantes;0;0;D;0;0;D;1.833;3;4;01.wrz;03.sty;4;sty.85;03.sty;03.cze;01.sie;03.lut;4;1.833;03.sty;4;01.sie;03.sty;4;sty.95;sty.65
F1;22.03.2003;Guingamp;Troyes;2;0;H;0;0;D;1.833;3;4;sty.85;03.lut;4;01.sie;03.sty;03.sie;01.sie;mar.25;mar.75;01.sie;03.lut;4;01.sie;mar.25;03.sie;sty.95;sty.65
F1;22.03.2003;Le Havre;Monaco;0;3;A;0;3;A;02.sie;2.875;2.375;lut.85;3;02.kwi;03.sty;02.sie;02.lut;3;3;02.lut;02.sie;3;2.375;02.lip;3;lut.37;sty.95;01.cze
F1;22.03.2003;Lille;Bastia;1;1;D;1;0;H;02.sty;3;03.lut;02.sty;3;mar.45;02.lut;02.sie;03.sty;01.wrz;03.lut;03.maj;02.sty;3;mar.25;02.sty;3;03.lut;sty.95;01.cze
F1;22.03.2003;Montpellier;Marseille;1;2;A;0;1;A;lut.75;2.875;02.kwi;02.sie;lut.95;lut.47;02.sie;02.sie;02.kwi;lut.75;3;lut.37;lut.75;3;02.kwi;lut.62;02.wrz;02.maj;02.maj;01.cze
F1;22.03.2003;Paris SG;Sedan;2;0;H;0;0;D;01.maj;03.cze;05.maj;01.maj;03.cze;cze.25;01.kwi;03.lip;06.maj;01.maj;03.kwi;6;01.maj;03.kwi;06.maj;sty.44;03.cze;06.maj;sty.85;sty.75
F1;22.03.2003;Strasbourg;Sochaux;1;3;A;0;1;A;02.sty;3;03.lut;lut.15;02.sie;03.mar;02.sty;02.sie;03.mar;02.lut;03.lut;02.sie;02.sty;3;mar.25;02.sty;lut.87;03.mar;lut.15;sty.55
F1;23.03.2003;Nice;Lyon;0;1;A;0;0;D;02.maj;2.875;2.625;lut.65;3;lut.55;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.maj;3;2.625;02.maj;02.wrz;lut.62;sty.95;sty.65
F1;05.04.2003;Auxerre;Ajaccio;1;0;H;0;0;D;1.667;mar.25;04.maj;sty.62;mar.35;maj.35;01.cze;03.lut;5;sty.66;mar.25;04.maj;1.615;03.lut;05.maj;sty.61;03.sty;05.maj;sty.95;sty.65
F1;05.04.2003;Bastia;Troyes;1;1;D;1;0;H;1.615;mar.25;5;sty.65;03.mar;maj.15;sty.65;03.lut;04.cze;sty.66;mar.25;04.maj;1.615;03.mar;05.lut;sty.57;03.mar;05.maj;sty.95;sty.65
F1;05.04.2003;Lens;Strasbourg;1;1;D;0;0;D;1.727;03.sty;04.maj;sty.72;03.lut;kwi.75;01.lip;03.sty;04.kwi;01.sie;03.lut;4;1.727;3;5;sty.72;03.sty;04.maj;sty.95;sty.65
F1;05.04.2003;Lyon;Le Havre;2;1;H;1;1;D;1.364;mar.75;8;01.kwi;4;lip.35;sty.35;03.sie;07.maj;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;01.kwi;03.cze;07.maj;sty.75;sty.85
F1;05.04.2003;Marseille;Guingamp;0;2;A;0;2;A;01.maj;03.kwi;6;sty.48;mar.75;cze.25;sty.45;03.cze;05.sie;sty.44;03.cze;06.maj;1.444;mar.75;06.maj;sty.44;03.maj;7;01.sie;01.sie
F1;05.04.2003;Nantes;Lille;1;0;H;0;0;D;1.615;mar.25;5;sty.63;mar.25;maj.35;sty.65;03.lut;04.cze;sty.61;mar.25;5;1.615;03.lut;05.maj;sty.57;03.mar;05.maj;01.wrz;01.lip
F1;05.04.2003;Rennes;Bordeaux;3;4;A;1;0;H;02.lip;3;02.kwi;02.lip;3;02.maj;02.cze;02.sie;02.cze;02.maj;mar.25;02.kwi;02.lip;03.sty;2.375;lut.62;02.wrz;02.maj;lut.22;01.maj
F1;05.04.2003;Sedan;Montpellier;1;2;A;1;1;D;2;3;03.kwi;sty.97;03.sty;mar.65;01.wrz;3;03.cze;2;3;03.kwi;2;3;03.maj;01.wrz;03.sty;03.cze;01.wrz;01.lip
F1;05.04.2003;Sochaux;Paris SG;0;0;D;0;0;D;lut.25;3;2.875;02.mar;03.maj;02.wrz;02.kwi;02.wrz;02.lip;lut.25;3;lut.87;02.mar;03.sty;02.sie;02.lut;3;3;sty.95;sty.65
F1;06.04.2003;Monaco;Nice;0;1;A;0;0;D;1.571;03.maj;5;sty.55;03.maj;maj.75;01.cze;03.lut;5;sty.61;mar.25;5;1.571;03.kwi;05.maj;sty.57;03.mar;05.maj;sty.85;sty.75
F1;08.04.2003;Auxerre;Sedan;3;1;H;1;0;H;01.maj;03.kwi;6;sty.57;mar.25;05.maj;sty.55;03.kwi;5;1.615;mar.25;5;01.maj;03.maj;6;sty.57;03.mar;05.maj;lut.15;sty.55
F1;11.04.2003;Bordeaux;Lyon;0;1;A;0;0;D;lut.25;3;2.875;lut.25;03.maj;3;02.mar;02.sie;02.wrz;lut.25;3;2.875;lut.25;3;3;02.lut;3;3;02.maj;01.cze
F1;12.04.2003;Ajaccio;Monaco;2;4;A;0;4;A;02.sie;3;02.mar;3;03.sty;lut.25;3;02.wrz;02.lut;3;3;02.lut;3;3;lut.25;3;3;02.lut;lut.25;01.maj
F1;12.04.2003;Guingamp;Bastia;3;0;H;2;0;H;01.sie;03.sty;4;sty.85;03.sty;04.lut;sty.85;03.sty;03.cze;01.sie;mar.25;mar.75;sty.85;03.sty;4;sty.83;3;4;lut.25;01.maj
F1;12.04.2003;Le Havre;Rennes;0;1;A;0;1;A;1.833;3;4;01.wrz;03.sty;03.wrz;01.wrz;3;03.cze;02.sty;03.lut;3;1.909;03.sty;mar.75;sty.83;3;4;lut.25;01.maj
F1;12.04.2003;Lille;Sedan;0;0;D;0;0;D;01.sie;03.sty;4;01.sie;03.lut;04.lut;01.sie;03.sty;03.sie;01.wrz;03.lut;03.maj;01.sie;03.sty;04.lut;01.sie;03.sty;4;lut.15;sty.55
F1;12.04.2003;Montpellier;Sochaux;0;2;A;0;1;A;lut.25;3;2.875;lut.25;03.maj;3;02.lut;02.wrz;3;lut.37;3;lut.75;lut.25;3;3;02.lut;3;3;lut.25;01.maj
F1;12.04.2003;Nice;Auxerre;1;0;H;0;0;D;02.sty;3;03.lut;02.lut;3;mar.15;02.mar;02.wrz;02.sie;02.lut;3;3;02.lut;3;03.sty;02.lut;3;3;lut.15;sty.55
F1;12.04.2003;Paris SG;Lens;0;1;A;0;0;D;1.727;03.sty;04.maj;sty.75;03.lut;04.cze;sty.75;03.sty;04.lut;sty.61;mar.25;5;sty.75;03.sty;04.maj;01.sie;02.wrz;04.maj;lut.15;sty.55
F1;12.04.2003;Strasbourg;Nantes;2;0;H;1;0;H;02.maj;03.sty;02.maj;02.cze;3;02.cze;02.lip;02.wrz;02.kwi;02.kwi;mar.25;02.maj;02.maj;3;02.cze;lut.62;02.wrz;02.maj;lut.25;01.maj
F1;12.04.2003;Troyes;Marseille;0;0;D;0;0;D;3;3;02.lut;03.lut;03.sty;lut.15;3;02.wrz;02.lut;lut.75;03.lut;lut.25;3;03.sty;02.lut;3;3;02.lut;lut.15;sty.55
F1;19.04.2003;Ajaccio;Bordeaux;1;6;A;0;1;A;3;3;02.lut;03.lut;03.sty;lut.15;03.sty;02.sie;02.lut;3;03.lut;02.sty;3;03.sty;02.lut;lut.87;3;lut.25;lut.35;sty.45
F1;19.04.2003;Auxerre;Le Havre;1;0;H;1;0;H;1.571;mar.25;05.maj;01.cze;03.kwi;05.maj;01.maj;03.kwi;05.cze;1.667;03.lut;5;1.571;03.kwi;05.maj;sty.57;03.mar;05.maj;lut.15;sty.55
F1;19.04.2003;Bastia;Montpellier;1;2;A;0;1;A;1.833;3;4;01.wrz;03.maj;04.maj;01.wrz;3;03.cze;1.833;03.lut;mar.75;sty.85;03.sty;4;sty.83;3;4;lut.15;sty.55
F1;19.04.2003;Lyon;Lille;0;0;D;0;0;D;1.286;04.maj;8;sty.33;04.kwi;sie.25;01.kwi;03.lip;06.maj;1.364;mar.75;8;1.333;4;08.maj;sty.36;mar.75;8;01.sie;01.sie
F1;19.04.2003;Nantes;Paris SG;1;1;D;0;0;D;1.909;3;mar.75;02.maj;03.sty;03.kwi;02.sty;02.wrz;03.lut;02.sty;3;03.lut;2;3;03.maj;2;3;03.kwi;02.maj;01.cze
F1;19.04.2003;Rennes;Nice;2;2;D;1;1;D;02.mar;3;02.sie;lut.35;3;02.wrz;02.mar;02.sie;02.wrz;lut.25;3;2.875;02.mar;3;2.875;lut.37;02.wrz;02.sie;lut.15;sty.55
F1;19.04.2003;Sedan;Troyes;4;0;H;0;0;D;2;3;03.kwi;2;03.sty;mar.55;sty.85;03.sty;03.cze;1.909;03.lut;03.maj;sty.95;03.sty;03.cze;01.wrz;03.sty;03.cze;02.maj;01.cze
F1;19.04.2003;Sochaux;Guingamp;0;0;D;0;0;D;1.833;03.lut;mar.75;sty.92;03.lut;03.lip;sty.85;03.sty;03.cze;01.sie;03.lut;4;01.sie;03.lut;4;sty.83;03.lut;mar.75;lut.15;sty.55
F1;20.04.2003;Lens;Marseille;0;1;A;0;1;A;2.375;3;02.lip;02.kwi;03.sty;lut.75;02.mar;02.sie;02.wrz;lut.25;03.lut;lut.75;02.kwi;3;lut.75;lut.25;3;lut.87;02.maj;01.cze
F1;20.04.2003;Monaco;Strasbourg;2;0;H;1;0;H;01.maj;03.kwi;6;sty.45;03.lip;06.wrz;01.kwi;03.lip;06.maj;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;sty.44;03.maj;7;sty.85;sty.75
F1;03.05.2003;Bordeaux;Auxerre;0;1;A;0;0;D;01.sie;3;04.lut;01.sie;03.lut;kwi.25;01.sie;03.sty;03.sie;01.sie;03.lut;4;01.sie;03.lut;4;01.sie;03.sty;4;01.wrz;sty.75
F1;03.05.2003;Guingamp;Lens;1;0;H;1;0;H;1.909;3;mar.75;sty.95;03.sty;mar.75;01.wrz;3;03.cze;1.909;03.lut;03.maj;2;2.875;mar.75;01.wrz;03.sty;03.cze;2;sty.65
F1;03.05.2003;Le Havre;Ajaccio;0;1;A;0;0;D;1.833;03.lut;mar.75;sty.85;mar.15;04.sty;01.sie;03.sty;03.sie;01.sie;03.lut;4;1.833;03.sty;4;2;3;03.kwi;2;sty.65
F1;03.05.2003;Lille;Rennes;1;0;H;1;0;H;2;3;03.kwi;02.lut;3;mar.65;01.wrz;3;03.cze;2;3;03.kwi;2;3;03.maj;2;lut.87;03.cze;02.sty;01.cze
F1;03.05.2003;Marseille;Bastia;2;1;H;1;0;H;1.333;4;8;sty.37;4;8;sty.35;03.sie;07.maj;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;01.kwi;03.cze;07.maj;sty.85;01.sie
F1;03.05.2003;Montpellier;Nantes;1;0;H;1;0;H;02.mar;03.lut;2.625;lut.45;3;lut.75;02.kwi;3;02.cze;2.375;03.lut;02.cze;2.375;3;lut.75;02.mar;03.sty;lut.75;2;sty.65
F1;03.05.2003;Nice;Sedan;0;0;D;0;0;D;1.667;03.mar;04.maj;sty.62;03.kwi;05.lut;01.lip;03.sty;04.kwi;1.667;mar.25;04.maj;1.615;03.kwi;5;sty.61;03.mar;5;2;sty.65
F1;03.05.2003;Strasbourg;Lyon;0;4;A;0;1;A;03.lut;03.lut;2;mar.35;03.lut;02.mar;03.lut;02.wrz;02.sty;3;03.lut;02.sty;03.kwi;03.sty;2;03.sty;03.sty;02.sty;sty.95;01.lip
F1;03.05.2003;Troyes;Sochaux;0;2;A;0;0;D;02.maj;03.sty;02.maj;02.lip;03.sty;lut.43;;;;lut.75;03.lut;lut.25;02.cze;03.lut;02.kwi;lut.62;03.sty;lut.37;2;sty.65
F1;04.05.2003;Paris SG;Monaco;2;1;H;0;1;A;02.maj;03.sty;02.maj;lut.45;03.maj;lut.73;02.kwi;3;02.cze;02.maj;2.875;2.625;02.maj;3;02.cze;lut.37;03.sty;lut.62;sty.85;01.sie
F1;10.05.2003;Ajaccio;Nice;2;0;H;1;0;H;02.mar;3;02.sie;lut.33;03.sty;lut.85;02.mar;02.wrz;02.sie;02.kwi;mar.25;02.maj;02.mar;03.sty;02.sie;02.kwi;02.wrz;lut.75;lut.35;sty.45
F1;10.05.2003;Auxerre;Lille;0;0;D;0;0;D;1.571;mar.25;05.maj;sty.55;03.kwi;6;01.cze;03.sty;05.lut;1.615;mar.25;5;1.571;03.kwi;05.maj;sty.57;03.mar;05.maj;lut.15;sty.55
F1;10.05.2003;Bordeaux;Le Havre;2;0;H;2;0;H;1.444;03.cze;06.maj;sty.45;mar.75;cze.75;01.kwi;03.lip;06.maj;01.maj;03.kwi;6;1.444;mar.75;06.maj;sty.44;03.cze;06.maj;lut.15;sty.55
F1;10.05.2003;Lens;Troyes;1;0;H;0;0;D;1.615;03.maj;04.maj;01.maj;mar.65;6;;;;1.444;03.cze;06.maj;1.571;03.kwi;05.maj;sty.53;03.kwi;05.maj;02.maj;01.cze
F1;10.05.2003;Monaco;Montpellier;3;1;H;0;0;D;1.444;03.cze;06.maj;01.kwi;mar.85;07.maj;01.kwi;03.lip;06.maj;01.maj;03.kwi;6;01.kwi;mar.75;07.maj;01.maj;03.kwi;6;sty.95;sty.65
F1;10.05.2003;Nantes;Guingamp;0;4;A;0;2;A;02.sty;03.lut;3;2;mar.15;03.maj;2;02.wrz;03.kwi;02.sty;03.lut;3;2;03.sty;03.kwi;01.wrz;03.sty;03.cze;02.maj;01.cze
F1;10.05.2003;Rennes;Strasbourg;2;3;A;1;1;D;1.667;mar.25;04.maj;sty.67;03.mar;5;01.lip;3;04.cze;1.727;03.lut;4.333;01.lip;mar.25;04.maj;01.sie;03.sty;4;sty.95;sty.65
F1;10.05.2003;Sedan;Bastia;2;2;D;1;2;A;1.615;mar.25;5;sty.57;03.kwi;maj.75;;;;1.667;mar.25;04.maj;1.615;mar.25;05.lut;sty.72;03.lut;kwi.33;01.wrz;01.lip
F1;10.05.2003;Sochaux;Marseille;3;0;H;1;0;H;02.mar;03.lut;2.625;lut.35;03.lut;02.lip;02.maj;3;02.maj;lut.25;03.lut;lut.75;02.mar;03.lut;lut.75;lut.25;03.lut;lut.75;02.maj;01.cze
F1;11.05.2003;Lyon;Paris SG;1;0;H;1;0;H;1.667;03.kwi;4.333;01.cze;mar.55;5;sty.65;03.mar;04.kwi;1.615;mar.25;5;1.615;03.kwi;5;sty.66;03.mar;04.maj;sty.75;sty.85
F1;20.05.2003;Bastia;Sochaux;2;2;D;1;2;A;lut.75;03.lut;lut.25;lut.75;03.lut;lut.27;;;;;;;lut.75;mar.25;lut.25;;;;02.maj;01.cze
F1;20.05.2003;Guingamp;Monaco;3;1;H;1;0;H;02.sie;03.lut;02.lut;02.cze;mar.15;02.kwi;3;03.mar;2;02.sie;03.lut;02.lut;2.625;03.mar;02.mar;;;;sty.95;sty.65
F1;20.05.2003;Le Havre;Lens;1;3;A;0;1;A;1.833;03.lut;mar.75;sty.85;mar.35;mar.55;;;;1.909;03.lut;03.maj;01.sie;mar.25;4;;;;lut.15;sty.55
F1;20.05.2003;Lille;Ajaccio;2;0;H;0;0;D;1.909;2.875;4;2;lut.85;04.lut;;;;1.833;3;4;sty.85;02.wrz;4.333;;;;02.maj;01.cze
F1;20.05.2003;Marseille;Sedan;4;2;H;2;0;H;1.444;03.cze;06.maj;sty.45;mar.75;cze.15;01.maj;03.maj;05.kwi;01.maj;03.kwi;6;1.444;mar.75;06.maj;;;;01.wrz;01.lip
F1;20.05.2003;Montpellier;Lyon;1;1;D;1;1;D;03.maj;03.lut;1.909;mar.25;03.maj;02.maj;03.cze;02.lip;2;mar.75;3;1.909;mar.75;3;1.909;;;;sty.95;sty.65
F1;20.05.2003;Nice;Bordeaux;1;1;D;1;0;H;02.maj;mar.25;02.kwi;02.cze;mar.15;02.kwi;;;;02.maj;03.lut;02.maj;02.lip;03.lut;02.mar;;;;lut.15;sty.55
F1;20.05.2003;Paris SG;Rennes;0;0;D;0;0;D;1.833;03.lut;mar.75;sty.83;mar.35;mar.65;;;;01.sie;03.lut;4;01.sie;03.kwi;mar.75;;;;sty.95;sty.65
F1;20.05.2003;Strasbourg;Auxerre;1;2;A;1;1;D;lut.75;03.lut;lut.25;02.lip;mar.15;lut.33;;;;02.cze;03.lut;2.375;02.sie;03.lut;lut.25;;;;02.maj;01.cze
F1;20.05.2003;Troyes;Nantes;2;0;H;0;0;D;2.625;03.sty;2.375;lut.65;03.sty;02.kwi;;;;lut.25;03.lut;lut.75;2.625;03.sty;02.kwi;;;;lut.15;sty.55
F1;24.05.2003;Ajaccio;Strasbourg;0;0;D;0;0;D;1.615;02.wrz;6;sty.55;lut.95;7;;;;01.maj;03.cze;05.maj;1.533;3;7;sty.57;lut.87;7;;
F1;24.05.2003;Auxerre;Paris SG;2;0;H;2;0;H;1.615;03.maj;04.maj;sty.55;03.lip;04.lip;;;;1.615;03.maj;04.maj;1.571;03.maj;5;sty.57;mar.75;04.maj;;
F1;24.05.2003;Bordeaux;Lille;2;0;H;1;0;H;1.333;4;8;sty.28;kwi.75;07.maj;;;;sty.25;04.maj;10;1.286;4.333;08.maj;sty.28;04.maj;8;;
F1;24.05.2003;Le Havre;Nice;2;1;H;1;0;H;1.909;03.maj;03.lut;sty.75;mar.25;04.lut;;;;2;03.kwi;3;sty.85;mar.25;03.cze;01.wrz;mar.75;3;;
F1;24.05.2003;Lens;Bastia;2;0;H;1;0;H;1.727;03.lut;4.333;sty.75;mar.25;4;;;;1.615;mar.25;5;1.667;03.lut;kwi.75;sty.66;03.mar;04.maj;;
F1;24.05.2003;Lyon;Guingamp;1;4;A;0;2;A;1.909;03.maj;03.lut;sty.85;mar.75;03.sty;;;;1.909;mar.25;03.kwi;1.909;03.kwi;mar.25;2;03.cze;lut.87;;
F1;24.05.2003;Monaco;Troyes;6;0;H;3;0;H;1.333;mar.75;9;sty.27;04.maj;9;;;;;;;01.mar;04.lut;08.maj;01.kwi;03.cze;07.maj;;
F1;24.05.2003;Nantes;Marseille;1;0;H;0;0;D;lut.75;03.lut;lut.25;;;;;;;03.cze;03.kwi;01.sie;02.sie;mar.25;02.lut;02.maj;03.kwi;02.mar;;
F1;24.05.2003;Rennes;Montpellier;3;1;H;1;1;D;1.615;mar.25;5;01.maj;mar.15;7;;;;1.444;03.cze;06.maj;1.571;mar.25;05.maj;sty.57;03.sty;6;;
F1;24.05.2003;Sochaux;Sedan;2;1;H;1;0;H;1.615;03.cze;4.333;01.cze;03.lip;04.mar;;;;01.kwi;4;06.maj;1.615;mar.75;04.lut;sty.61;mar.75;04.lut;;
