Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;12.09.2004;Albacete;Ath Madrid;0;2;A;0;0;D;lut.75;03.lut;02.maj;02.kwi;mar.15;02.lip;lut.65;03.mar;lut.53;02.maj;3;02.maj;02.maj;03.lut;02.maj;lut.62;03.sty;02.maj;02.maj;03.sty;02.maj;2;sty.71;02.sty;01.lip;02.mar;sty.55;-0.25;02.kwi;01.sie;0;2.075;1.825;0
SP1;12.09.2004;Betis;Espanol;1;4;A;0;2;A;2;mar.25;mar.25;01.wrz;mar.25;03.lip;2;mar.25;03.lip;01.wrz;3;03.cze;1.833;03.lut;mar.75;01.wrz;mar.25;mar.75;01.wrz;03.lut;03.maj;2;sty.71;02.maj;sty.75;01.sie;02.maj;-0.25;sty.84;2;-0.25;01.sie;02.sty;-0.25
SP1;12.09.2004;Getafe;Mallorca;1;2;A;0;1;A;2.375;03.lut;2.625;02.lut;03.lut;3;lut.35;03.lut;lut.95;02.kwi;02.wrz;02.lip;02.kwi;2.875;lut.75;02.maj;03.lut;02.cze;lut.37;03.sty;lut.62;sty.95;sty.75;02.maj;sty.75;02.maj;01.lip;-0.25;02.cze;sty.78;-0.25;2.125;1.775;-0.25
SP1;12.09.2004;La Coruna;Osasuna;1;3;A;1;0;H;1.444;mar.75;06.maj;01.maj;03.cze;cze.25;sty.53;03.lip;06.maj;sty.45;03.cze;05.sie;01.maj;03.kwi;6;01.maj;03.cze;06.maj;01.maj;03.kwi;6;sty.85;sty.85;2;01.sie;02.lut;01.cze;-1.25;01.wrz;sty.94;-1;2;01.wrz;-1
SP1;12.09.2004;Levante;Santander;3;1;H;0;1;A;02.sty;03.lut;03.sty;02.sty;03.lut;03.lut;02.sty;mar.25;03.kwi;2;3;03.mar;2;03.lut;03.lut;02.lut;03.sty;03.sty;02.sty;03.sty;03.sty;2;sty.71;02.maj;sty.75;01.maj;lut.45;0;sty.84;2;-0.25;sty.85;02.maj;-0.25
SP1;12.09.2004;Malaga;Zaragoza;0;0;D;0;0;D;02.sty;mar.25;3;lut.15;03.mar;3;02.lut;03.sty;mar.35;2;3;03.mar;02.lut;03.lut;02.sie;02.sty;03.lut;03.lut;02.sty;03.sty;03.sty;sty.85;sty.85;2;01.sie;01.cze;02.lut;0;sty.92;sty.92;-0.25;1.875;2.025;-0.25
SP1;12.09.2004;Villarreal;Sociedad;0;0;D;0;0;D;1.727;mar.25;4.333;01.sie;mar.25;04.lut;01.sie;mar.35;04.maj;sty.85;03.sty;03.cze;01.sie;mar.25;mar.75;sty.75;03.mar;04.maj;sty.83;03.mar;03.cze;sty.95;sty.75;sty.95;sty.85;02.sty;sty.67;-1;01.wrz;sty.94;-0.75;2.025;1.875;-0.75
SP1;18.09.2004;Espanol;Real Madrid;1;0;H;1;0;H;mar.75;03.lut;2;4;mar.35;01.sie;03.sie;03.mar;sty.95;03.maj;03.sty;01.wrz;mar.75;mar.25;01.sie;03.sie;03.kwi;sty.83;mar.75;03.mar;01.sie;sty.71;2;sty.85;sty.95;02.sty;sty.67;0.25;01.sie;02.kwi;0.5;1.825;2.075;0.5
SP1;18.09.2004;Osasuna;Betis;3;2;H;0;1;A;2;mar.25;mar.25;2;mar.25;03.kwi;2;mar.25;03.lip;sty.85;03.sty;03.cze;sty.83;03.lut;mar.75;2;03.sty;03.cze;01.wrz;03.lut;03.maj;02.maj;sty.65;02.sty;01.lip;sty.65;lut.15;-0.25;sty.96;sty.88;-0.5;2.025;1.875;-0.5
SP1;18.09.2004;Valencia;Sociedad;3;1;H;1;0;H;sty.44;mar.75;06.maj;sty.45;03.sie;06.lip;01.maj;mar.75;cze.75;01.maj;03.lip;5;sty.44;03.cze;06.maj;01.maj;03.cze;06.maj;sty.44;03.cze;06.maj;sty.85;sty.85;sty.85;sty.95;02.mar;sty.55;-1.25;02.lut;sty.82;-1;2;01.wrz;-1
SP1;19.09.2004;Ath Bilbao;La Coruna;1;2;A;0;0;D;02.mar;03.lut;02.lip;02.kwi;mar.15;02.lip;02.kwi;mar.25;02.sie;02.lut;3;02.wrz;02.sty;03.lut;3;02.kwi;03.sty;lut.75;02.mar;3;02.sie;sty.75;sty.95;02.maj;sty.75;sty.65;lut.15;0;02.sie;sty.76;-0.25;2.075;1.825;-0.25
