Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;22.09.2004;Palermo;Fiorentina;0;0;D;0;0;D;2;3;03.maj;sty.95;lut.85;04.lut;02.maj;3;03.cze;2;02.wrz;03.kwi;2;3;03.kwi;02.sty;lut.88;03.cze;02.maj;02.wrz;03.kwi;2;sty.71;02.maj;sty.75;02.maj;sty.64;-0.5;02.lut;sty.82;-0.5;02.sty;01.sie;-0.5
I1;22.09.2004;Parma;Bologna;1;2;A;0;2;A;sty.83;03.sty;4;sty.85;02.wrz;04.maj;01.sie;03.sty;04.maj;01.sie;3;4;sty.62;mar.25;5;01.sie;3;kwi.75;sty.72;03.sty;04.maj;sty.95;sty.75;02.maj;sty.75;01.sie;sty.84;-0.5;01.wrz;sty.94;-0.5;sty.95;sty.95;-0.5
I1;22.09.2004;Reggina;Livorno;2;1;H;1;1;D;01.wrz;02.wrz;4;01.wrz;02.wrz;04.lut;01.wrz;03.sty;4;01.sie;3;4;sty.83;3;4;sty.91;03.sty;4;sty.83;3;4;sty.95;sty.75;02.maj;sty.75;01.wrz;sty.75;-0.5;02.cze;sty.78;-0.5;02.sty;01.sie;-0.5
I1;22.09.2004;Roma;Lecce;2;2;D;0;1;A;sty.57;03.cze;5;sty.55;mar.75;05.kwi;sty.53;03.maj;06.sty;sty.45;03.cze;05.sie;01.maj;03.kwi;6;sty.53;03.kwi;06.maj;sty.44;03.cze;06.maj;sty.65;02.maj;01.sie;2;01.sie;2;-0.75;sty.82;02.lut;-0.75;1.875;2.025;-0.75
I1;22.09.2004;Sampdoria;Juventus;0;3;A;0;1;A;5;03.sty;01.sie;04.kwi;03.mar;sty.75;kwi.75;03.sty;sty.75;4;3;01.sie;kwi.33;03.lut;sty.73;04.maj;03.sty;01.sie;4;3;sty.83;sty.95;sty.75;sty.95;sty.85;sty.88;sty.75;0.5;sty.82;02.lut;0.75;1.775;2.125;0.75
I1;25.09.2004;Bologna;Roma;3;1;H;3;0;H;lut.75;3;lut.37;3;lut.95;lut.35;02.wrz;3;02.kwi;02.lip;3;02.mar;lut.62;lut.88;02.maj;3;3;02.mar;02.lip;3;lut.37;sty.95;sty.75;sty.95;sty.85;sty.77;02.maj;0.25;2.625;2.875;02.maj;sty.85;02.maj;0.25
I1;25.09.2004;Juventus;Palermo;1;1;D;0;1;A;01.mar;5;9;01.mar;04.kwi;wrz.25;sty.33;kwi.25;9;01.mar;4;08.maj;01.mar;4;9;01.mar;04.maj;9;sty.33;4;8;sty.71;2;sty.66;lut.15;sty.91;sty.73;-1.5;01.mar;4;9;2.125;1.775;-1.5
I1;26.09.2004;Fiorentina;Sampdoria;0;2;A;0;1;A;01.sie;3;kwi.33;02.maj;02.wrz;mar.75;2;3;mar.85;sty.85;3;03.sie;sty.91;3;mar.75;sty.91;03.sty;4;sty.83;3;4;01.wrz;sty.79;02.maj;sty.75;2;sty.69;-0.5;1.909;3;mar.75;2.125;1.775;-0.5
I1;26.09.2004;Inter;Parma;2;2;D;0;1;A;01.maj;03.kwi;06.maj;01.kwi;4;07.maj;sty.45;03.sie;07.mar;01.maj;03.maj;05.kwi;sty.44;03.cze;06.maj;01.maj;03.cze;06.maj;01.maj;03.kwi;6;sty.79;01.wrz;01.sie;2;01.sie;2;-1;1.444;03.cze;06.maj;1.825;2.075;-1
I1;26.09.2004;Lazio;Milan;1;2;A;1;0;H;03.maj;03.lut;02.sty;mar.55;03.sty;2;03.kwi;3;02.sty;03.lut;02.wrz;02.sty;03.kwi;3;2;03.maj;3;02.sty;03.sty;3;lut.15;01.wrz;sty.79;02.maj;sty.75;sty.59;02.sty;0.5;03.kwi;3;2;01.sie;02.sty;0.5
