Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Attendance;Referee;HS;AS;HST;AST;HHW;AHW;HC;AC;HF;AF;HO;AO;HY;AY;HR;AR;HBP;ABP;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA
D1;25.11.2000;Hansa Rostock;Hamburg;1;0;H;0;0;D;14500;JÅrgen Jansen ;15;4;6;2;0;0;13;3;30;26;2;1;2;2;0;0;20;20;lut.45;3;02.lip;02.mar;02.wrz;02.maj;lut.62;03.kwi;lut.25;lut.38;3;02.lip;02.mar;03.sty;lut.75
D1;26.11.2000;Munich 1860;Unterhaching;0;2;A;0;1;A;29600;Florian Meyer ;16;16;3;6;0;0;8;5;8;15;2;0;4;0;0;0;40;0;sty.65;03.mar;04.sie;01.cze;03.lut;04.lut;sty.73;03.kwi;4;sty.62;03.lut;04.cze;sty.62;mar.25;5
D1;26.11.2000;Leverkusen;Kaiserslautern;4;2;H;2;1;H;22500;Hermann Albrecht ;16;14;9;7;0;0;8;4;25;22;7;0;2;3;0;0;20;30;sty.66;03.kwi;kwi.45;01.cze;03.lut;04.lut;sty.61;03.maj;04.maj;sty.62;mar.25;5;sty.57;mar.25;05.maj
D1;26.11.2000;Werder Bremen;Stuttgart;1;0;H;0;0;D;26189;Lutz Michael Fr?hlich ;9;5;2;3;0;1;8;3;21;29;3;3;1;1;0;1;10;35;sty.85;03.lut;03.lip;01.sie;3;03.maj;01.sie;03.kwi;03.cze;01.sie;03.sty;4;01.sie;03.mar;mar.75
D1;02.12.2000;FC Koln;Munich 1860;4;0;H;1;0;H;30000;Lutz Michael Fr?hlich ;18;6;10;0;0;1;7;5;15;16;4;1;2;4;0;0;20;40;01.sie;03.lut;03.sie;01.sie;3;03.maj;;;;sty.75;mar.25;4;sty.72;mar.25;04.lut
D1;02.12.2000;Bayern Munich;Leverkusen;2;0;H;1;0;H;48000;Helmut Krug ;18;7;8;2;1;0;5;5;18;20;6;2;4;2;0;1;40;45;sty.75;mar.25;04.sty;sty.75;03.sty;03.cze;;;;sty.73;03.lut;kwi.33;sty.72;03.lut;kwi.33
D1;02.12.2000;Bochum;Ein Frankfurt;2;1;H;2;0;H;17000;Bernd Heynemann ;13;20;6;8;0;1;10;5;18;9;2;1;1;2;0;0;10;20;lut.35;03.sty;02.lip;02.lut;02.wrz;02.lip;;;;02.mar;03.sty;lut.75;lut.25;03.sty;02.sie
D1;02.12.2000;Hertha;Freiburg;2;2;D;2;1;H;30000;Markus Merk ;18;7;8;4;0;0;6;0;17;18;2;6;4;3;0;0;40;30;sty.45;03.cze;06.mar;sty.45;03.maj;5;;;;sty.45;03.maj;06.maj;sty.44;03.cze;06.maj
D1;02.12.2000;Stuttgart;Dortmund;0;2;A;0;1;A;25000;Edgar Steinborn ;10;10;3;3;0;0;5;4;21;19;0;0;1;2;0;0;10;20;02.kwi;3;02.lip;02.mar;02.wrz;02.maj;;;;02.mar;03.sty;02.lip;lut.37;03.sty;lut.62
D1;02.12.2000;Wolfsburg;Schalke 04;2;0;H;0;0;D;18000;JÅrgen Aust ;16;12;10;7;2;0;10;5;12;17;6;0;3;2;0;0;30;20;02.kwi;03.sty;lut.65;02.mar;02.wrz;02.maj;;;;lut.38;03.sty;02.cze;lut.37;03.sty;lut.62
D1;03.12.2000;Cottbus;Hansa Rostock;1;0;H;0;0;D;20000;Herbert Fandel ;11;5;5;2;0;0;5;3;20;20;2;2;3;3;1;1;55;55;02.sty;3;mar.25;02.lut;02.wrz;02.lip;2;03.lut;03.lut;02.lut;3;3;02.lut;3;3
D1;03.12.2000;Kaiserslautern;Hamburg;2;1;H;0;0;D;38500;Helmut Fleischer ;14;7;6;5;0;0;9;5;15;31;2;5;3;4;0;0;30;40;01.wrz;3;03.cze;01.wrz;02.wrz;03.lut;sty.91;03.lut;03.maj;sty.91;03.lut;03.maj;2;03.mar;03.sty
D1;08.12.2000;Ein Frankfurt;Wolfsburg;1;2;A;1;0;H;20000;Peter Gagelmann ;14;15;5;7;0;0;6;4;18;11;5;7;5;1;0;0;50;10;sty.95;03.lut;mar.45;2;02.wrz;3;sty.73;03.kwi;4;sty.85;03.sty;mar.75;sty.83;03.mar;03.cze
D1;09.12.2000;Munich 1860;Hansa Rostock;2;1;H;1;0;H;15000;Alfons Berg ;18;16;7;5;2;0;4;9;18;20;2;1;3;3;0;0;30;30;sty.85;mar.15;03.lip;01.sie;3;03.maj;01.sie;mar.25;mar.75;01.sie;mar.25;03.cze;01.wrz;mar.25;03.kwi
D1;09.12.2000;Dortmund;Unterhaching;3;0;H;3;0;H;60000;Michael Weiner ;23;6;13;0;1;0;5;6;14;11;1;4;2;1;0;0;20;10;sty.45;mar.75;6;01.kwi;03.cze;05.maj;sty.44;03.maj;7;sty.44;03.cze;06.maj;sty.44;03.cze;06.maj
D1;09.12.2000;Freiburg;Bochum;5;0;H;1;0;H;24000;J?rg Kessler ;20;14;12;8;0;0;5;3;7;15;2;4;2;4;0;1;20;65;sty.75;03.lut;04.mar;sty.75;03.sty;03.cze;01.sie;mar.25;mar.75;01.lip;mar.25;kwi.33;sty.72;03.kwi;4
D1;09.12.2000;Kaiserslautern;Bayern Munich;0;0;D;0;0;D;41500;JÅrgen Aust ;26;9;8;0;1;0;10;5;24;18;4;7;1;6;0;0;10;60;02.lip;mar.15;02.mar;lut.35;3;lut.35;lut.75;03.lut;lut.25;02.sie;03.sty;lut.25;lut.75;03.lut;lut.25
D1;09.12.2000;Schalke 04;Stuttgart;2;1;H;1;0;H;30000;Lutz Wagner ;12;11;6;3;0;0;6;3;21;20;2;0;3;2;0;1;30;45;sty.55;03.maj;05.maj;01.cze;03.lut;04.lut;sty.61;mar.25;5;01.maj;03.maj;6;sty.53;03.kwi;05.maj
D1;10.12.2000;Hamburg;Cottbus;2;1;H;0;1;A;39600;Franz-Xaver Wack ;12;11;6;4;0;0;8;3;16;16;0;0;2;2;0;0;20;20;sty.45;03.lip;06.lut;01.maj;03.kwi;04.lip;01.maj;03.kwi;6;sty.44;03.cze;06.maj;sty.45;03.maj;06.maj
D1;10.12.2000;Leverkusen;Hertha;4;0;H;2;0;H;22500;Bernd Heynemann ;14;7;9;3;0;0;2;3;22;16;3;4;1;2;0;1;10;45;01.sie;03.mar;mar.85;sty.75;03.sty;03.cze;sty.61;03.maj;04.maj;sty.73;mar.25;04.lut;sty.72;03.kwi;4
D1;10.12.2000;Werder Bremen;FC Koln;2;1;H;0;0;D;26000;Uwe Kemmling ;13;12;4;3;2;0;9;8;12;14;3;2;3;2;1;0;55;20;01.wrz;03.lut;03.cze;sty.75;03.sty;03.cze;01.sie;mar.25;mar.75;sty.91;mar.25;03.kwi;01.wrz;mar.25;03.kwi
D1;12.12.2000;Stuttgart;Ein Frankfurt;4;1;H;1;1;D;20000;Peter Sippel ;15;8;9;6;2;0;8;7;18;18;3;1;2;3;0;0;20;30;sty.85;03.lut;03.lip;sty.75;03.sty;03.cze;sty.83;03.kwi;03.maj;sty.75;mar.25;4;01.lip;03.mar;04.lut
D1;12.12.2000;Unterhaching;Schalke 04;0;2;A;0;1;A;10000;Lutz Michael Fr?hlich ;11;14;3;5;1;0;8;2;13;19;2;2;2;1;0;0;20;10;lut.65;mar.15;lut.35;02.kwi;02.wrz;02.kwi;02.maj;mar.25;02.kwi;02.cze;03.sty;02.kwi;lut.75;03.sty;02.mar
D1;12.12.2000;Wolfsburg;Freiburg;1;2;A;0;1;A;16000;Hermann Albrecht ;14;7;6;4;0;0;5;4;10;8;2;1;2;2;0;0;20;20;01.lip;mar.25;kwi.45;01.cze;03.lut;04.lut;sty.73;03.lut;kwi.33;sty.67;03.mar;04.maj;sty.66;03.mar;04.maj
D1;13.12.2000;FC Koln;Dortmund;0;0;D;0;0;D;41000;Helmut Fleischer ;14;11;10;6;1;0;8;3;17;17;1;0;1;3;0;0;10;30;lut.35;03.lut;lut.65;02.kwi;02.wrz;02.kwi;lut.37;03.lut;02.cze;lut.25;03.lut;lut.75;02.mar;mar.25;lut.62
D1;13.12.2000;Bayern Munich;Hamburg;2;1;H;0;1;A;30000;Hartmut Strampe ;11;8;9;3;0;0;5;5;20;18;2;7;2;4;0;0;20;40;01.kwi;03.wrz;06.cze;sty.45;03.maj;5;sty.44;mar.75;6;01.mar;4;8;01.mar;4;9
D1;13.12.2000;Bochum;Leverkusen;3;2;H;1;0;H;19000;Florian Meyer ;10;11;6;7;0;0;5;12;11;15;2;1;1;3;0;0;10;30;03.kwi;03.sty;sty.95;03.sty;3;01.wrz;03.lut;03.lut;2;mar.25;mar.25;sty.95;03.lut;03.lut;2
D1;13.12.2000;Cottbus;Munich 1860;2;3;A;2;0;H;14000;Edgar Steinborn ;20;20;10;9;0;0;1;9;28;30;0;4;1;1;0;0;10;10;lut.15;mar.15;3;01.wrz;02.wrz;03.lut;2;03.lut;03.lut;2;03.lut;03.lut;02.sty;03.lut;3
D1;13.12.2000;Hansa Rostock;Werder Bremen;5;2;H;2;1;H;15000;Wolfgang Stark ;9;18;8;7;0;1;5;11;21;18;6;3;2;5;0;0;20;50;02.lut;03.sty;02.wrz;02.lut;02.wrz;02.lip;02.sty;03.lut;3;02.lut;03.sty;lut.88;02.lut;03.lut;02.sie
D1;13.12.2000;Hertha;Kaiserslautern;2;4;A;0;2;A;15000;JÅrgen Jansen ;17;16;3;8;0;0;4;0;19;18;2;3;2;2;1;0;45;20;01.sie;mar.35;03.sie;sty.65;03.lut;03.wrz;01.sie;03.maj;03.maj;sty.73;mar.25;04.lut;sty.72;03.kwi;4
D1;15.12.2000;Unterhaching;Ein Frankfurt;2;0;H;1;0;H;6000;Uwe Kemmling ;14;9;6;3;1;2;7;4;17;19;7;3;2;4;0;0;20;40;02.sty;03.lut;3;01.wrz;02.wrz;03.lut;sty.91;03.lut;03.maj;sty.91;03.lut;03.kwi;sty.85;mar.25;03.cze
