Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Attendance;Referee;HS;AS;HST;AST;HHW;AHW;HC;AC;HF;AF;HO;AO;HY;AY;HR;AR;HBP;ABP;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA
D1;10.02.2001;Leverkusen;FC Koln;4;1;H;0;1;A;22500;Helmut Krug ;23;8;11;3;0;0;13;0;29;24;1;0;2;5;0;0;20;50;sty.45;mar.65;06.kwi;sty.55;03.mar;04.maj;;;;sty.44;03.cze;06.maj;sty.44;03.maj;7
D1;10.02.2001;Schalke 04;Munich 1860;2;0;H;0;0;D;33705;Bernd Heynemann ;15;1;11;1;1;0;4;3;23;17;2;0;2;0;0;1;20;25;sty.55;03.maj;05.kwi;sty.65;03.lut;03.wrz;;;;sty.53;03.kwi;05.maj;sty.57;03.maj;5
D1;11.02.2001;Dortmund;Werder Bremen;0;0;D;0;0;D;62000;Herbert Fandel ;18;9;8;5;0;0;15;4;19;27;1;0;2;3;0;0;20;30;sty.53;mar.45;05.cze;01.cze;03.lut;04.lut;;;;sty.53;03.maj;maj.25;sty.61;mar.25;5
D1;11.02.2001;Freiburg;Hansa Rostock;0;0;D;0;0;D;24500;Hermann Albrecht ;12;8;4;3;0;0;7;7;16;19;5;3;2;4;0;0;20;40;01.cze;03.kwi;04.sie;01.cze;03.lut;04.lut;;;;sty.53;03.maj;maj.25;sty.57;03.maj;5
D1;16.02.2001;Munich 1860;Ein Frankfurt;2;2;D;0;1;A;12001;Michael Weiner ;18;9;12;6;1;0;13;4;15;13;2;2;1;3;0;0;10;30;sty.68;03.mar;kwi.55;01.lip;03.sty;03.sie;;;;sty.65;mar.25;04.maj;sty.66;03.kwi;kwi.33
D1;17.02.2001;Cottbus;Freiburg;0;2;A;0;0;D;14133;Peter Sippel ;23;11;11;5;1;0;4;3;23;24;1;3;5;4;0;0;50;40;lut.18;03.lut;lut.75;02.sty;02.wrz;02.wrz;;;;02.lut;03.lut;02.sie;02.lut;03.lut;02.sie
D1;17.02.2001;Dortmund;Hamburg;4;2;H;1;0;H;65000;Franz-Xaver Wack ;13;11;7;5;0;0;3;2;17;24;6;1;1;2;0;1;10;45;01.cze;mar.45;04.sie;sty.65;03.lut;03.wrz;;;;sty.57;03.maj;5;sty.57;03.maj;5
D1;17.02.2001;Hansa Rostock;Leverkusen;2;1;H;1;1;D;12500;Edgar Steinborn ;4;10;3;2;0;0;3;5;22;27;1;4;2;3;1;0;45;30;03.mar;mar.15;2;3;02.wrz;2;;;;03.kwi;03.sty;sty.95;03.lut;03.lut;2
D1;17.02.2001;Unterhaching;Bayern Munich;1;0;H;0;0;D;15300;Lutz Wagner ;10;17;3;8;0;0;4;8;15;14;0;3;0;2;0;0;0;20;05.sty;mar.35;01.cze;04.maj;03.mar;sty.55;;;;04.maj;03.mar;sty.67;04.maj;03.mar;sty.66
D1;17.02.2001;Werder Bremen;Schalke 04;2;1;H;2;0;H;35838;Helmut Fleischer ;12;9;3;3;1;0;2;4;18;19;2;0;1;2;0;0;10;20;lut.33;03.sty;02.lip;02.lut;02.wrz;02.lip;;;;02.mar;03.sty;02.lip;02.mar;03.lut;lut.62
D1;17.02.2001;Wolfsburg;Bochum;0;0;D;0;0;D;12318;Alfons Berg ;20;4;5;2;1;0;14;3;22;17;0;1;1;1;0;0;10;10;sty.48;mar.55;06.sty;sty.45;03.maj;5;;;;sty.44;03.cze;06.maj;sty.53;03.kwi;05.maj
D1;18.02.2001;FC Koln;Kaiserslautern;0;1;A;0;1;A;32000;Florian Meyer ;19;15;6;5;0;1;11;6;16;18;4;3;2;4;0;0;20;40;lut.25;3;02.wrz;02.lut;02.wrz;02.lip;;;;02.sty;03.sty;03.sty;02.lut;03.lut;02.sie
D1;18.02.2001;Stuttgart;Hertha;0;1;A;0;0;D;20000;Wolfgang Stark ;10;4;1;2;0;0;6;5;27;15;2;5;1;1;0;0;10;10;lut.27;3;02.wrz;02.sty;02.wrz;02.wrz;;;;lut.25;03.sty;02.sie;02.mar;03.lut;lut.62
D1;23.02.2001;Leverkusen;Cottbus;1;3;A;0;2;A;;Hermann Albrecht ;21;11;13;7;1;1;9;3;21;19;2;4;2;4;0;0;20;40;sty.25;04.lut;08.lip;01.mar;4;7;;;;sty.25;04.maj;08.maj;sty.25;04.maj;10
D1;24.02.2001;Bayern Munich;FC Koln;1;1;D;0;1;A;36000;Bernd Heynemann ;21;5;4;1;0;0;10;2;15;17;0;7;1;3;0;0;10;30;sty.27;04.maj;9;01.mar;4;7;;;;sty.33;4;8;01.mar;kwi.33;8
D1;24.02.2001;Ein Frankfurt;Werder Bremen;1;2;A;0;1;A;21000;JÅrgen Aust ;11;11;4;5;2;0;4;4;17;13;4;4;2;1;0;0;20;10;02.lut;03.sty;lut.95;02.sty;02.wrz;02.wrz;;;;2;03.sty;3;02.sty;03.lut;3
D1;24.02.2001;Freiburg;Munich 1860;0;3;A;0;2;A;25000;JÅrgen Jansen ;21;22;9;10;2;0;7;11;13;20;1;3;3;3;0;0;30;30;01.wrz;03.lut;03.cze;01.wrz;3;03.sty;;;;01.sie;03.sty;4;01.sie;03.mar;mar.75
D1;24.02.2001;Hamburg;Wolfsburg;3;2;H;2;1;H;32000;Peter Gagelmann ;12;16;7;10;1;0;7;9;17;14;4;0;2;3;0;0;20;30;2;03.sty;mar.35;2;02.wrz;3;;;;2;03.lut;03.lut;01.wrz;mar.25;03.kwi
D1;24.02.2001;Schalke 04;Dortmund;0;0;D;0;0;D;62100;Markus Merk;7;6;1;2;0;0;8;7;18;23;1;1;4;4;0;0;40;40;lut.25;03.lut;lut.75;02.sty;02.wrz;02.wrz;;;;02.sty;3;03.lut;02.sty;03.lut;3
D1;25.02.2001;Bochum;Stuttgart;0;0;D;0;0;D;19000;Herbert Fandel ;14;15;5;4;1;0;9;7;27;26;7;3;2;2;0;0;20;20;lut.27;3;lut.87;02.lut;02.wrz;02.lip;;;;02.lut;03.sty;lut.88;02.lut;03.lut;02.sie
D1;25.02.2001;Kaiserslautern;Hansa Rostock;0;1;A;0;1;A;36000;Lutz Michael Fr?hlich ;20;8;9;5;0;0;11;2;23;26;0;6;3;3;1;0;55;30;01.maj;03.kwi;06.lut;sty.45;03.maj;5;;;;01.maj;03.kwi;6;01.maj;03.kwi;6
D1;02.03.2001;Dortmund;Ein Frankfurt;6;1;H;1;0;H;;Uwe Kemmling ;29;11;17;4;1;0;10;0;14;11;4;2;3;3;0;1;30;55;sty.42;03.sie;06.lip;sty.45;03.maj;5;;;;sty.44;03.cze;06.maj;sty.44;03.cze;06.maj
D1;03.03.2001;FC Koln;Hertha;1;0;H;0;0;D;34500;Franz-Xaver Wack ;12;8;7;5;0;1;9;11;10;11;1;2;0;1;0;0;0;10;lut.35;3;02.sie;02.lut;02.wrz;02.lip;;;;lut.25;03.lut;lut.75;lut.37;03.mar;02.maj
D1;03.03.2001;Cottbus;Kaiserslautern;0;2;A;0;0;D;18000;Helmut Fleischer ;7;6;3;4;1;0;4;7;22;16;1;0;2;0;0;1;20;25;lut.45;03.sty;02.cze;02.mar;02.wrz;02.maj;;;;02.mar;03.sty;02.lip;lut.37;03.mar;02.maj
D1;03.03.2001;Hansa Rostock;Bayern Munich;3;2;H;1;1;D;21000;Markus Merk ;7;17;3;9;0;0;4;7;21;18;2;0;2;5;0;1;20;75;03.sie;03.lut;sty.85;03.mar;3;sty.85;;;;03.cze;mar.25;sty.85;03.maj;03.lut;01.wrz
D1;03.03.2001;Stuttgart;Wolfsburg;2;1;H;1;0;H;10000;Lutz Wagner ;7;8;6;3;1;0;2;3;27;29;1;5;4;2;0;0;40;20;lut.25;3;lut.95;01.wrz;3;03.sty;;;;02.lut;3;3;02.sty;03.lut;3
D1;03.03.2001;Unterhaching;Bochum;2;1;H;1;1;D;9000;Florian Meyer ;17;8;11;4;0;0;11;7;13;22;2;2;1;3;0;2;10;80;01.sie;mar.25;mar.95;sty.85;3;03.mar;;;;sty.75;03.mar;4;01.sie;03.mar;mar.75
D1;03.03.2001;Werder Bremen;Freiburg;3;1;H;2;0;H;27000;Helmut Krug ;27;9;5;4;0;0;14;2;19;18;5;3;2;2;0;0;20;20;01.sie;03.lut;4;01.lip;03.sty;03.sie;;;;sty.73;mar.25;04.lut;sty.66;03.mar;04.maj
D1;04.03.2001;Munich 1860;Leverkusen;1;0;H;0;0;D;17500;Herbert Fandell ;11;15;6;7;0;0;4;4;26;17;0;1;1;5;1;1;35;75;lut.65;02.wrz;02.maj;02.kwi;02.wrz;02.kwi;;;;02.maj;03.sty;02.maj;lut.37;03.sty;lut.62
D1;04.03.2001;Schalke 04;Hamburg;0;1;A;0;0;D;35000;J?rg Kessler ;18;15;2;5;0;1;8;5;21;16;2;1;2;3;0;0;20;30;sty.62;03.kwi;kwi.85;01.cze;03.lut;04.lut;;;;sty.57;03.kwi;maj.25;sty.57;03.maj;5
D1;07.03.2001;Hertha;Unterhaching;2;1;H;0;0;D;20000;Hartmut Strampe ;12;8;5;3;0;1;7;2;14;10;3;2;2;2;0;0;20;20;sty.45;03.lip;06.kwi;01.kwi;03.cze;05.maj;;;;01.maj;03.cze;05.maj;sty.44;03.cze;06.maj
D1;09.03.2001;Leverkusen;Werder Bremen;3;0;H;1;0;H;22500;Wolfgang Stark ;18;5;7;1;0;0;5;6;29;22;5;2;3;3;0;0;30;30;01.cze;03.mar;05.mar;sty.75;03.sty;03.cze;;;;sty.67;03.mar;04.maj;sty.72;03.kwi;4
D1;10.03.2001;Bayern Munich;Cottbus;2;0;H;2;0;H;28000;Michael Weiner ;18;7;11;1;0;0;2;2;14;18;6;6;3;0;0;0;30;0;sty.22;05.sty;10;sty.25;04.mar;8;sty.25;04.maj;10;sty.25;kwi.75;9;sty.22;5;09.maj
D1;10.03.2001;Bochum;FC Koln;2;3;A;2;1;H;21683;Lutz Michael Fr?hlich ;12;14;4;7;2;0;7;4;12;16;1;2;3;3;1;3;55;105;lut.45;3;lut.65;02.mar;02.wrz;02.maj;02.maj;mar.25;02.kwi;02.maj;03.sty;02.maj;lut.37;03.mar;02.maj
D1;10.03.2001;Ein Frankfurt;Schalke 04;0;0;D;0;0;D;37400;Hermann Albrecht ;15;10;5;6;0;1;4;5;22;15;1;5;1;4;0;0;10;40;02.cze;lut.95;lut.55;02.kwi;02.wrz;02.kwi;02.cze;03.lut;lut.37;02.cze;03.sty;02.kwi;02.maj;03.sty;02.maj
D1;10.03.2001;Freiburg;Dortmund;2;2;D;1;2;A;25000;Alfons Berg ;12;22;6;9;0;0;6;9;13;12;4;3;2;2;0;0;20;20;02.wrz;3;02.mar;02.lip;02.wrz;02.lut;02.cze;03.lut;lut.37;lut.63;03.sty;lut.38;lut.62;03.sty;lut.37
D1;10.03.2001;Hertha;Hansa Rostock;1;0;H;0;0;D;40895;JÅrgen Aust ;15;4;6;0;0;0;6;3;24;18;3;1;2;3;0;1;20;55;01.cze;mar.35;05.lut;01.cze;03.lut;04.lut;sty.73;03.kwi;4;sty.67;mar.25;04.maj;sty.61;03.maj;04.maj
D1;10.03.2001;Wolfsburg;Unterhaching;6;1;H;2;1;H;16000;Bernd Heynemann ;16;6;7;2;2;0;7;2;11;14;7;2;2;2;0;1;20;45;sty.62;03.mar;05.lut;sty.55;03.mar;04.maj;sty.61;03.maj;04.maj;sty.57;03.mar;maj.25;sty.61;03.maj;04.maj
D1;11.03.2001;Hamburg;Stuttgart;2;2;D;2;1;H;40000;JÅrgen Jansen ;7;7;2;4;0;0;5;3;11;31;5;1;1;2;0;0;10;20;sty.67;mar.35;04.maj;sty.65;03.sty;4;sty.73;03.kwi;4;sty.67;03.mar;04.maj;sty.66;03.mar;04.maj
D1;11.03.2001;Kaiserslautern;Munich 1860;3;2;H;0;0;D;39172;Hartmut Strampe ;16;13;10;6;0;1;2;10;22;17;0;1;4;4;0;0;40;40;sty.75;03.mar;04.lut;sty.75;03.sty;03.cze;01.sie;mar.25;mar.75;01.sie;mar.25;mar.75;01.sie;03.mar;mar.75
D1;16.03.2001;FC Koln;Wolfsburg;0;0;D;0;0;D;28000;Herbert Fandel ;9;14;4;6;0;0;3;6;10;13;0;3;0;1;0;0;0;10;02.maj;03.maj;mar.35;02.sty;02.wrz;02.wrz;01.sie;mar.25;mar.75;sty.95;mar.25;03.mar;2;03.mar;03.sty
D1;17.03.2001;Munich 1860;Bayern Munich;0;2;A;0;0;D;69000;Helmut Krug ;21;16;4;8;0;1;9;3;18;11;2;1;0;3;0;0;0;30;mar.85;mar.15;sty.85;03.mar;3;sty.85;mar.75;mar.25;01.sie;mar.75;mar.25;01.sie;04.maj;03.mar;sty.66
D1;17.03.2001;Cottbus;Hertha;3;0;H;2;0;H;20400;Alfons Berg ;8;9;4;4;0;0;1;4;22;20;2;4;3;2;0;0;30;20;lut.55;03.sty;02.maj;lut.35;3;lut.35;02.cze;03.lut;lut.37;02.cze;03.sty;lut.38;lut.62;03.lut;02.mar
D1;17.03.2001;Dortmund;Leverkusen;1;3;A;1;2;A;68600;Bernd Heynemann ;16;10;8;6;2;0;6;5;20;18;2;0;4;4;0;1;40;65;sty.95;mar.15;03.maj;2;02.wrz;3;sty.91;03.lut;03.maj;sty.91;mar.25;03.kwi;2;03.lut;03.lut
D1;17.03.2001;Ein Frankfurt;Hamburg;1;1;D;0;0;D;33000;Helmut Fleischer ;11;8;8;7;0;0;7;3;12;15;1;7;3;1;0;0;30;10;lut.25;03.sty;lut.85;02.lut;02.wrz;02.lip;02.lut;03.lut;02.sie;lut.25;03.lut;lut.75;02.lut;mar.25;lut.75
D1;17.03.2001;Hansa Rostock;Bochum;2;0;H;0;0;D;13000;J?rg Kessler ;17;11;4;5;0;1;7;3;16;12;2;2;2;4;0;1;20;65;01.cze;03.maj;kwi.85;sty.65;03.sty;4;sty.57;03.maj;5;01.cze;03.mar;5;sty.61;mar.25;5
D1;17.03.2001;Schalke 04;Freiburg;0;0;D;0;0;D;29000;Uwe Kemmling ;18;6;5;1;0;1;6;1;19;16;4;0;2;3;0;1;20;55;01.cze;mar.45;5;01.cze;03.lut;04.lut;sty.57;03.maj;5;sty.62;03.kwi;kwi.75;sty.61;mar.25;5
D1;18.03.2001;Unterhaching;Stuttgart;0;0;D;0;0;D;12000;Lutz Michael Fr?hlich ;10;24;2;8;0;1;3;11;14;22;5;2;0;2;0;0;0;20;lut.15;3;mar.15;02.lut;02.wrz;02.lip;02.lut;03.lut;02.sie;02.sty;03.sty;03.sty;02.sty;03.lut;3
D1;18.03.2001;Werder Bremen;Kaiserslautern;1;2;A;0;2;A;24000;Franz-Xaver Wack ;12;15;5;8;0;1;12;3;17;27;3;0;4;4;0;0;40;40;2;03.sty;03.kwi;2;02.wrz;3;01.sie;mar.25;mar.75;01.wrz;03.lut;03.maj;sty.85;03.mar;03.cze
D1;30.03.2001;Wolfsburg;Hansa Rostock;2;1;H;1;0;H;15000;JÅrgen Jansen ;11;10;6;5;0;1;5;6;21;20;4;3;2;1;0;0;20;10;sty.78;03.lut;04.sty;sty.75;03.sty;03.cze;sty.67;03.kwi;kwi.33;sty.83;mar.25;03.lip;01.sie;03.mar;mar.75
D1;31.03.2001;Bayern Munich;Werder Bremen;2;3;A;0;1;A;45000;Florian Meyer ;13;16;6;10;0;0;7;5;13;16;8;4;3;3;0;0;30;30;sty.38;mar.85;07.maj;01.kwi;03.cze;05.maj;sty.44;03.maj;7;01.kwi;mar.75;7;01.kwi;mar.75;7
D1;31.03.2001;Freiburg;Ein Frankfurt;5;2;H;2;0;H;25000;Herbert Fandel ;11;14;9;8;0;1;6;4;14;11;3;2;3;4;0;0;30;40;sty.75;03.mar;kwi.15;01.sie;3;03.maj;sty.73;03.kwi;4;sty.75;mar.25;4;sty.72;mar.25;04.lut
D1;31.03.2001;Hamburg;Unterhaching;1;1;D;0;0;D;36000;Helmut Krug ;16;8;2;6;0;2;7;3;17;19;2;0;3;0;0;0;30;0;01.maj;03.kwi;maj.75;sty.45;03.maj;5;01.maj;03.cze;05.maj;01.maj;03.maj;maj.75;sty.53;mar.25;6
D1;31.03.2001;Hertha;Munich 1860;3;0;H;1;0;H;30000;Edgar Steinborn ;13;10;5;5;0;0;10;5;13;18;3;1;1;2;0;0;10;20;sty.72;mar.35;04.lut;01.sie;3;03.maj;sty.67;03.kwi;kwi.33;sty.73;03.lut;kwi.33;sty.66;03.kwi;kwi.33
D1;31.03.2001;Leverkusen;Schalke 04;0;3;A;0;1;A;22000;Markus Merk ;10;7;1;3;0;1;5;2;16;20;4;2;4;2;0;0;40;20;sty.73;03.mar;04.lut;01.sie;3;03.maj;sty.73;03.kwi;4;01.lip;mar.25;kwi.33;sty.66;03.mar;04.maj
D1;31.03.2001;Stuttgart;FC Koln;0;3;A;0;2;A;32000;Peter Gagelmann ;15;5;4;4;1;0;15;1;10;16;0;2;0;3;0;0;0;30;sty.95;03.sty;mar.55;sty.85;02.wrz;03.kwi;sty.91;mar.25;03.kwi;01.wrz;03.lut;03.maj;01.wrz;03.lut;03.maj
D1;01.04.2001;Bochum;Cottbus;1;0;H;0;0;D;10000;Franz-Xaver Wack ;13;6;2;3;1;0;14;5;14;15;2;0;1;1;0;0;10;10;lut.17;03.lut;lut.95;2;02.wrz;3;lut.25;03.kwi;lut.62;02.lut;03.sty;lut.88;02.sty;3;03.lut
D1;01.04.2001;Kaiserslautern;Dortmund;1;4;A;0;1;A;41500;Lutz Michael Fr?hlich ;12;12;5;10;0;0;7;7;12;10;0;3;1;1;0;0;10;10;lut.28;03.maj;lut.85;02.sty;02.wrz;02.wrz;02.sty;03.kwi;02.sie;02.lut;3;3;2;03.sty;03.mar
D1;06.04.2001;Cottbus;Wolfsburg;0;0;D;0;0;D;15019;Hermann Albrecht ;11;5;5;1;0;0;10;1;16;27;2;5;1;3;0;0;10;30;lut.25;3;lut.95;02.lut;02.wrz;02.lip;lut.25;03.lut;lut.75;lut.25;03.sty;02.sie;02.lut;mar.25;lut.75
D1;07.04.2001;FC Koln;Unterhaching;1;1;D;1;0;H;32500;Alfons Berg ;11;7;4;3;0;0;8;4;17;19;3;2;2;2;0;0;20;20;01.cze;mar.35;05.lut;01.cze;03.lut;04.lut;sty.57;mar.25;05.maj;sty.55;03.kwi;05.maj;01.maj;03.cze;05.maj
D1;07.04.2001;Munich 1860;Bochum;2;4;A;0;1;A;26300;Bernd Heynemann ;18;17;5;7;0;2;11;5;17;16;3;1;2;0;0;0;20;0;sty.55;mar.45;05.maj;sty.55;03.mar;04.maj;01.maj;mar.25;06.maj;sty.55;03.maj;maj.25;sty.57;03.maj;5
D1;07.04.2001;Dortmund;Bayern Munich;1;1;D;0;1;A;68000;Hartmut Strampe ;16;4;5;1;2;0;3;3;22;14;4;1;2;10;1;2;45;150;02.kwi;03.sty;lut.67;02.mar;02.wrz;02.maj;02.maj;mar.25;02.kwi;lut.38;03.sty;lut.63;02.mar;03.sty;lut.75
D1;07.04.2001;Ein Frankfurt;Leverkusen;1;3;A;0;1;A;35000;J?rg Kessler ;13;11;7;6;0;0;7;7;17;20;1;5;2;4;0;1;20;65;lut.85;03.sty;lut.25;02.wrz;02.wrz;02.sty;lut.75;mar.25;02.lut;02.sie;03.sty;lut.25;02.wrz;03.sty;02.lut
D1;07.04.2001;Freiburg;Hamburg;0;0;D;0;0;D;25000;Markus Merk ;9;9;2;3;0;0;7;2;16;25;2;1;3;4;0;0;30;40;02.cze;3;mar.35;02.sty;02.wrz;02.wrz;2;03.lut;03.lut;sty.95;03.lut;03.mar;2;03.lut;03.lut
D1;07.04.2001;Werder Bremen;Hertha;3;1;H;1;0;H;34000;Peter Sippel ;18;12;10;4;1;1;8;8;17;18;4;4;1;3;0;0;10;30;2;03.sty;03.mar;01.sie;3;03.maj;sty.91;mar.25;03.kwi;sty.95;03.lut;03.mar;2;03.lut;03.lut
D1;08.04.2001;Hansa Rostock;Stuttgart;1;1;D;0;0;D;15500;Franz-Xaver Wack ;8;21;3;5;0;0;2;7;27;23;0;4;3;1;0;0;30;10;sty.95;03.sty;mar.55;01.wrz;02.wrz;03.lut;01.sie;mar.25;mar.75;sty.85;mar.25;03.cze;sty.85;03.mar;03.maj
D1;08.04.2001;Schalke 04;Kaiserslautern;5;1;H;2;0;H;51000;Wolfgang Stark ;13;6;7;3;0;0;2;5;15;23;0;1;3;4;0;0;30;40;sty.92;mar.15;03.maj;01.wrz;02.wrz;03.lut;sty.91;03.kwi;mar.25;01.sie;mar.25;03.sie;01.wrz;mar.25;03.kwi
D1;12.04.2001;Stuttgart;Cottbus;1;0;H;0;0;D;35000;Bernd Heynemann ;16;8;3;2;0;0;8;1;15;24;4;3;3;4;0;0;30;40;sty.65;mar.45;kwi.55;01.cze;03.lut;04.lut;sty.67;03.kwi;kwi.33;sty.62;03.kwi;kwi.75;sty.65;03.kwi;04.maj
D1;14.04.2001;Bayern Munich;Schalke 04;1;3;A;1;1;D;63000;JÅrgen Aust ;15;9;8;6;2;0;7;3;17;9;0;3;3;2;0;0;30;20;sty.65;03.mar;04.wrz;01.lip;03.sty;03.sie;sty.73;03.kwi;4;01.sie;03.lut;4;sty.72;03.lut;kwi.33
D1;14.04.2001;Bochum;Werder Bremen;1;2;A;0;1;A;16000;Uwe Kemmling ;17;16;9;6;0;1;3;9;17;13;2;7;3;2;0;0;30;20;02.cze;3;lut.52;02.kwi;02.wrz;02.kwi;02.cze;03.lut;lut.37;02.cze;03.sty;02.kwi;02.maj;03.sty;02.maj
D1;14.04.2001;Hertha;Dortmund;1;0;H;0;0;D;54429;Hermann Albrecht ;15;9;4;2;1;0;5;5;22;10;1;3;3;2;1;0;55;20;lut.43;03.maj;lut.65;02.mar;02.wrz;02.maj;lut.37;03.lut;02.cze;lut.25;03.lut;lut.75;02.lut;3;3
D1;14.04.2001;Kaiserslautern;Ein Frankfurt;4;2;H;1;2;A;41000;Helmut Krug ;11;12;7;7;0;0;9;9;13;15;5;3;4;1;0;0;40;10;01.maj;03.cze;05.sie;sty.55;03.mar;04.maj;01.maj;03.kwi;6;sty.53;03.kwi;05.maj;sty.57;03.maj;5
D1;14.04.2001;Leverkusen;Freiburg;1;3;A;0;1;A;22500;Helmut Fleischer ;15;7;7;4;1;0;8;4;20;9;0;3;2;1;0;0;20;10;sty.45;mar.65;cze.55;sty.45;03.maj;5;01.maj;03.kwi;6;sty.44;mar.75;6;01.maj;03.kwi;6
D1;14.04.2001;Wolfsburg;Munich 1860;0;1;A;0;1;A;13600;Lutz Michael Fr?hlich ;14;7;6;3;2;1;6;7;22;25;0;1;0;1;0;0;0;10;sty.77;mar.25;04.sty;01.sie;3;03.maj;sty.67;03.kwi;kwi.33;sty.73;03.lut;kwi.33;sty.72;03.lut;kwi.33
D1;15.04.2001;Hamburg;FC Koln;1;1;D;0;1;A;45000;J?rg Kessler ;26;10;8;6;3;0;13;3;23;21;3;1;4;5;0;1;40;75;sty.82;03.lut;mar.95;sty.85;02.wrz;03.kwi;sty.91;mar.25;03.kwi;01.wrz;03.lut;03.maj;01.wrz;03.lut;03.maj
D1;15.04.2001;Unterhaching;Hansa Rostock;1;1;D;0;0;D;10000;Edgar Steinborn ;14;4;6;4;0;0;9;5;23;25;4;2;2;0;0;0;20;0;02.maj;03.maj;mar.35;01.wrz;02.wrz;03.lut;02.sty;03.lut;3;2;3;03.kwi;02.sty;3;03.lut
D1;20.04.2001;Dortmund;Bochum;5;0;H;2;0;H;65000;Helmut Fleischer ;24;10;9;0;1;1;3;2;20;20;3;1;1;2;0;0;10;20;sty.32;04.kwi;lip.65;01.kwi;03.cze;05.maj;sty.33;4;8;sty.35;4;8;01.mar;04.lut;08.maj
D1;21.04.2001;Cottbus;Unterhaching;1;0;H;0;0;D;17358;Markus Merk ;5;8;2;5;0;0;7;3;19;11;2;2;2;1;0;0;20;10;sty.95;03.sty;03.cze;sty.85;02.wrz;03.kwi;sty.91;03.lut;03.maj;sty.91;03.lut;03.maj;01.sie;03.sty;4
D1;21.04.2001;Ein Frankfurt;Bayern Munich;0;2;A;0;1;A;57000;JÅrgen Jansen ;8;17;4;7;0;0;3;2;17;9;5;0;1;1;0;0;10;10;03.sie;mar.25;01.sie;03.sty;3;01.wrz;mar.75;mar.25;01.sie;4;03.mar;sty.75;03.cze;03.kwi;01.sie
D1;21.04.2001;Hansa Rostock;FC Koln;2;1;H;1;0;H;15200;Wolfgang Stark ;16;16;6;7;0;0;15;9;20;16;2;2;4;2;0;0;40;20;02.lut;03.maj;3;2;02.wrz;3;02.lut;03.lut;02.sie;02.lut;3;3;02.sty;03.lut;3
D1;21.04.2001;Leverkusen;Hamburg;1;1;D;0;0;D;22500;Lutz Wagner ;18;12;4;4;0;0;7;1;26;27;2;2;2;0;1;0;45;0;sty.55;03.maj;05.kwi;01.cze;03.lut;04.lut;sty.61;mar.25;5;sty.55;03.maj;05.lut;sty.57;03.maj;5
D1;21.04.2001;Schalke 04;Hertha;3;1;H;0;1;A;60000;Herbert Fandel ;19;8;10;6;0;0;10;1;25;20;1;2;2;2;0;0;20;20;sty.65;mar.45;04.maj;01.lip;03.sty;03.sie;sty.67;03.kwi;kwi.33;sty.55;03.cze;kwi.75;sty.61;03.maj;04.maj
D1;21.04.2001;Werder Bremen;Wolfsburg;2;3;A;1;2;A;34000;Helmut Krug ;14;13;8;9;0;2;15;4;19;15;3;6;3;3;0;0;30;30;sty.65;03.kwi;kwi.55;sty.65;03.lut;03.wrz;sty.67;03.kwi;kwi.33;sty.57;03.maj;5;sty.61;03.mar;5
D1;22.04.2001;Munich 1860;Stuttgart;2;1;H;1;1;D;20000;Michael Weiner ;10;7;3;1;2;0;2;8;23;26;1;2;4;5;0;0;40;50;01.wrz;mar.15;03.lip;2;02.wrz;3;02.sty;03.lut;3;sty.95;mar.25;03.kwi;01.wrz;03.mar;03.mar
D1;22.04.2001;Freiburg;Kaiserslautern;5;2;H;5;0;H;24500;Hartmut Strampe ;13;18;9;8;1;1;6;5;9;17;4;0;1;3;0;0;10;30;lut.25;03.maj;02.wrz;02.lut;02.wrz;02.lip;02.sty;03.lut;3;02.sty;03.lut;3;02.lut;03.lut;02.sie
D1;27.04.2001;Wolfsburg;Dortmund;1;1;D;1;1;D;20600;Herbert Fandel ;15;8;6;2;0;0;7;7;17;11;2;5;4;1;0;0;40;10;lut.65;03.sty;02.kwi;lut.35;3;lut.35;lut.75;03.lut;lut.25;3;03.sty;lut.15;lut.62;mar.25;02.mar
D1;28.04.2001;FC Koln;Cottbus;4;0;H;2;0;H;25000;Helmut Krug ;18;13;9;2;0;0;2;4;17;18;0;1;1;3;0;0;10;30;sty.65;03.mar;04.sie;sty.75;03.sty;03.cze;sty.61;mar.25;5;sty.57;03.kwi;05.lut;sty.57;03.maj;5
D1;28.04.2001;Bayern Munich;Freiburg;1;0;H;0;0;D;58000;Edgar Steinborn ;20;6;8;2;2;0;14;9;18;11;5;1;1;0;0;0;10;0;sty.35;04.sty;7;01.kwi;03.cze;05.maj;01.maj;03.kwi;6;sty.44;mar.75;6;01.kwi;mar.75;7
D1;28.04.2001;Bochum;Schalke 04;1;1;D;1;0;H;32645;Alfons Berg ;8;15;3;8;0;0;3;6;19;13;4;2;2;1;0;0;20;10;mar.95;03.kwi;01.lip;03.cze;03.lut;01.lip;03.maj;mar.75;sty.73;maj.25;03.cze;01.maj;5;03.maj;sty.57
D1;28.04.2001;Hertha;Ein Frankfurt;3;0;H;3;0;H;35969;Helmut Fleischer ;17;6;8;1;0;0;6;2;20;16;3;2;1;1;0;0;10;10;sty.45;03.sie;06.lut;sty.45;03.maj;5;01.kwi;4;06.maj;sty.36;03.cze;8;sty.36;mar.75;8
