Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;14.05.2005;M'gladbach;Hertha;0;0;D;0;0;D;18;13;15;15;3;5;1;1;0;0;03.maj;03.lut;01.wrz;03.lut;03.mar;02.maj;mar.25;mar.35;02.maj;03.lut;03.sty;2;mar.25;03.kwi;01.wrz;mar.25;03.kwi;2;03.lut;03.lut;2;sty.65;2;sty.75;02.maj;sty.65;02.maj;0.5;;;;01.sie;02.sty;0.5
D1;14.05.2005;Schalke 04;Dortmund;1;2;A;1;2;A;20;9;9;27;12;4;2;2;0;0;sty.66;mar.25;04.maj;sty.75;03.maj;04.sty;sty.75;mar.35;04.maj;01.wrz;03.sty;03.maj;sty.66;03.kwi;kwi.33;sty.75;03.kwi;04.lut;sty.72;mar.25;04.lut;sty.65;2;01.lip;02.sty;sty.95;sty.85;-0.75;;;;1.975;1.925;-0.75
D1;14.05.2005;Werder Bremen;Freiburg;4;1;H;0;1;A;25;10;21;18;12;2;1;2;0;1;01.lut;5;11;sty.15;06.lip;12;01.lut;05.maj;12;sty.15;6;12;sty.16;05.maj;12;01.lut;05.maj;12;sty.14;6;12;sty.45;lut.45;01.maj;02.maj;;;;;;;sty.75;lut.15;-1.75
D1;14.05.2005;Wolfsburg;Leverkusen;2;2;D;2;0;H;14;22;21;12;4;6;1;2;0;0;lut.75;mar.25;02.lut;lut.85;03.mar;lut.25;lut.95;mar.35;02.lut;02.sie;03.sty;02.lut;02.sie;03.lut;02.lut;3;03.kwi;02.sty;02.wrz;3;lut.25;sty.55;02.lut;sty.55;lut.37;sty.57;02.lut;0.5;;;;01.sie;02.sty;0.5
D1;21.05.2005;Bielefeld;Wolfsburg;1;2;A;1;1;D;16;15;13;19;7;9;1;1;0;0;lut.37;03.lut;02.cze;lut.25;03.kwi;lut.75;lut.35;03.mar;02.lip;02.kwi;03.sty;02.maj;lut.25;03.lut;lut.75;02.mar;03.lut;02.sie;02.mar;03.mar;02.cze;sty.61;2;;;lut.35;sty.49;-0.5;;;;02.sty;01.sie;-0.25
D1;21.05.2005;Dortmund;Hansa Rostock;2;1;H;0;1;A;22;12;13;22;6;4;0;2;0;0;sty.36;4;7;sty.25;05.lut;09.lut;sty.25;5;10;01.lut;5;10;sty.25;5;8;01.mar;04.maj;9;sty.25;5;8;sty.45;lut.45;;;;;;;;;sty.95;sty.95;-1.5
D1;21.05.2005;Freiburg;Schalke 04;2;3;A;1;1;D;13;17;16;21;6;1;2;2;0;0;7;4;sty.36;07.sie;04.wrz;01.mar;8;04.lut;sty.36;7;4;sty.35;7;4;sty.36;7;4;01.kwi;07.maj;03.sie;sty.36;;;;;;;;;;;01.wrz;2;01.maj
D1;21.05.2005;Hamburg;Bochum;0;1;A;0;1;A;17;12;19;25;7;4;4;3;0;1;sty.53;03.kwi;05.maj;01.maj;03.wrz;05.cze;01.maj;mar.75;6;sty.55;03.maj;04.sie;01.maj;03.kwi;6;01.maj;mar.75;6;sty.57;03.maj;5;sty.51;02.lut;;;01.maj;lut.31;-0.5;;;;sty.95;sty.95;-1
D1;21.05.2005;Hertha;Hannover;0;0;D;0;0;D;21;9;10;11;9;4;2;0;0;0;sty.22;5;9;sty.25;05.lut;09.lut;sty.25;5;10;01.mar;04.lut;8;sty.25;5;8;01.mar;04.maj;9;01.mar;04.maj;07.maj;sty.51;02.lut;;;;;;;;;02.maj;sty.85;-1.75
D1;21.05.2005;Kaiserslautern;Werder Bremen;1;2;A;1;2;A;5;22;24;19;4;6;0;2;0;0;04.maj;03.maj;sty.61;4;03.cze;sty.75;04.maj;03.maj;sty.68;03.sie;03.sty;01.sie;kwi.33;03.kwi;sty.67;04.maj;03.kwi;01.lip;4;03.maj;01.lip;sty.46;02.mar;;;sty.97;sty.68;0.5;;;;2.025;1.875;0.75
D1;21.05.2005;Leverkusen;M'gladbach;5;1;H;1;1;D;30;6;6;19;16;2;0;2;0;0;sty.25;04.maj;10;01.mar;04.wrz;07.sie;sty.36;04.lut;8;01.kwi;03.wrz;6;sty.33;4;8;sty.36;kwi.33;07.maj;01.kwi;03.maj;8;sty.51;02.lut;;;;;;;;;02.sty;01.sie;-1.5
D1;21.05.2005;Nurnberg;Mainz;1;2;A;1;1;D;13;21;19;16;1;7;1;3;0;0;01.wrz;03.lut;03.maj;sty.95;03.sty;mar.75;2;03.lut;03.maj;2;03.lut;03.sty;sty.91;mar.25;03.kwi;2;mar.25;03.kwi;2;03.mar;03.sty;sty.51;02.lut;;;2;sty.67;-0.5;;;;02.sty;01.sie;-0.5
D1;21.05.2005;Stuttgart;Bayern Munich;1;3;A;0;2;A;12;14;17;22;6;4;2;2;0;0;2;03.lut;03.lut;02.mar;mar.55;02.cze;lut.15;03.mar;3;02.lut;03.mar;02.cze;02.sty;03.lut;3;02.sty;03.kwi;3;02.lut;03.mar;02.lip;;;;;lut.15;sty.57;-0.5;;;;1.975;1.925;-0.25
