Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;12.09.2004;Hannover;Freiburg;2;2;D;2;0;H;8;13;22;14;5;7;1;1;0;0;1.833;mar.25;mar.75;01.sie;03.kwi;mar.95;01.wrz;03.kwi;mar.85;sty.85;03.sty;03.cze;1.909;03.lut;03.maj;sty.85;03.mar;03.sie;sty.95;03.mar;mar.25;sty.71;2;01.lip;02.sty;sty.65;lut.15;-0.25;sty.82;02.lut;-0.5;01.wrz;2;-0.5
D1;12.09.2004;Hansa Rostock;Kaiserslautern;2;3;A;0;2;A;20;18;19;20;8;2;2;2;0;0;1.909;mar.25;03.maj;01.wrz;03.mar;03.lip;sty.95;03.mar;03.lip;sty.85;03.sty;03.cze;1.909;03.lut;03.maj;01.wrz;mar.25;mar.75;sty.83;03.mar;03.cze;sty.75;sty.95;01.lip;02.sty;sty.67;02.sty;-0.25;sty.92;sty.92;-0.5;1.975;1.925;-0.5
D1;18.09.2004;Bielefeld;Mainz;1;1;D;0;0;D;15;18;17;20;4;3;2;4;0;1;lut.25;mar.25;lut.75;2;mar.35;03.mar;02.lut;mar.25;mar.15;2;03.sty;03.lut;02.lut;03.lut;02.sie;02.lut;mar.25;3;2;03.lut;03.lut;sty.71;2;01.sie;2;sty.55;02.mar;0;sty.92;sty.92;-0.25;sty.95;sty.95;-0.25
D1;18.09.2004;Dortmund;Bayern Munich;2;2;D;1;0;H;8;18;15;13;1;7;3;2;0;0;lut.75;3;lut.37;02.wrz;03.mar;02.lut;lut.85;03.lut;02.kwi;02.maj;3;02.maj;02.cze;03.lut;lut.38;lut.75;03.lut;lut.38;02.maj;03.sty;02.maj;sty.71;2;01.sie;2;02.gru;sty.75;0;02.sty;sty.74;0;2.125;1.775;0
D1;18.09.2004;Hansa Rostock;Wolfsburg;1;2;A;1;1;D;12;14;19;18;7;6;5;3;1;0;02.mar;03.lut;02.lip;02.lut;03.mar;02.wrz;02.kwi;03.lut;lut.85;02.mar;3;02.lip;lut.38;03.lut;02.cze;lut.38;03.lut;lut.75;02.maj;03.sty;02.maj;sty.65;02.maj;sty.65;02.lut;02.sty;01.lip;-0.25;02.gru;sty.72;-0.25;1.775;2.125;0
D1;18.09.2004;Kaiserslautern;Hamburg;2;1;H;1;0;H;14;16;25;28;4;5;3;5;0;0;02.lut;mar.25;02.sie;02.maj;03.mar;03.lut;lut.15;mar.25;mar.25;sty.85;03.sty;03.cze;02.lut;03.lut;02.sie;lut.25;mar.25;lut.88;2;03.lut;03.lut;sty.71;2;sty.66;lut.15;sty.55;02.mar;0;sty.82;02.lut;-0.25;01.wrz;2;-0.25
D1;18.09.2004;Leverkusen;Nurnberg;2;2;D;0;1;A;13;15;13;28;4;4;2;3;0;0;01.kwi;mar.75;07.maj;sty.45;03.wrz;06.mar;sty.45;03.wrz;07.maj;sty.45;03.sie;05.kwi;sty.44;03.cze;06.maj;01.maj;03.cze;06.maj;sty.44;03.cze;06.maj;01.cze;lut.15;sty.61;lut.25;lut.15;sty.65;-1.25;sty.76;02.sie;-1;01.sie;02.sty;-1
D1;18.09.2004;Schalke 04;M'gladbach;3;2;H;1;1;D;19;11;21;14;11;4;2;1;0;0;sty.66;03.kwi;04.maj;sty.55;03.lip;05.mar;sty.73;03.kwi;kwi.75;sty.65;03.mar;04.kwi;sty.73;03.kwi;4;sty.73;03.kwi;04.maj;sty.61;03.mar;5;sty.75;sty.95;01.sie;2;lut.45;01.maj;-1;02.lut;sty.82;-0.75;2.075;1.825;-0.75
D1;18.09.2004;Werder Bremen;Hannover;3;0;H;1;0;H;20;7;19;13;4;3;2;1;0;1;01.maj;03.maj;6;01.kwi;04.lut;06.cze;sty.53;mar.75;06.lut;sty.65;03.mar;04.kwi;01.maj;03.cze;05.maj;sty.44;mar.75;7;01.maj;03.kwi;6;sty.65;02.maj;sty.61;lut.25;01.sie;02.maj;-0.75;02.sty;sty.74;-1;01.sie;02.sty;-0.75
D1;19.09.2004;Freiburg;Bochum;1;1;D;0;0;D;12;8;10;15;5;4;3;1;0;0;02.mar;03.lut;02.lip;02.mar;03.mar;lut.75;02.mar;mar.25;3;02.lut;3;02.wrz;lut.25;03.lut;lut.75;02.mar;03.lut;lut.88;02.mar;03.lut;lut.62;sty.71;2;sty.66;lut.15;01.lip;02.maj;0;02.cze;sty.78;-0.25;02.sty;01.sie;-0.25
D1;19.09.2004;Hertha;Stuttgart;0;0;D;0;0;D;11;12;13;24;4;3;3;2;1;0;02.cze;03.lut;02.kwi;lut.45;mar.15;lut.65;lut.65;03.lut;lut.55;02.kwi;02.wrz;02.lip;02.maj;03.lut;02.maj;02.cze;03.lut;02.maj;02.kwi;03.sty;02.cze;sty.75;sty.95;01.sie;2;02.mar;sty.55;-0.25;sty.88;sty.96;0;01.wrz;2;0
D1;25.09.2004;Bayern Munich;Freiburg;3;1;H;2;1;H;15;14;19;18;11;4;3;2;0;0;sty.28;04.maj;08.maj;sty.25;5;09.sie;sty.31;kwi.75;09.maj;01.mar;04.lut;8;01.mar;kwi.33;8;01.mar;kwi.75;08.maj;01.mar;kwi.33;8;sty.55;02.lut;sty.61;lut.25;01.cze;02.lut;-1.25;sty.98;sty.86;-1.5;2;01.wrz;-1.5
D1;25.09.2004;Bochum;Werder Bremen;1;4;A;0;0;D;9;22;17;18;3;3;2;2;0;0;lut.62;03.lut;lut.37;02.cze;03.mar;02.kwi;02.lip;03.lut;02.maj;02.cze;3;02.kwi;02.kwi;mar.25;02.maj;lut.75;03.lut;lut.38;02.maj;03.sty;02.maj;01.cze;02.sty;sty.66;lut.15;02.lut;01.cze;-0.25;02.lut;sty.82;0;02.maj;sty.85;0
D1;25.09.2004;Hannover;Schalke 04;1;0;H;0;0;D;15;13;18;19;4;8;1;0;0;0;02.maj;03.lut;02.maj;02.cze;03.mar;02.kwi;02.cze;03.lut;02.cze;02.maj;3;02.maj;02.maj;03.lut;02.maj;02.maj;03.lut;02.cze;02.cze;03.sty;02.kwi;sty.65;2;sty.66;lut.15;02.lut;01.cze;-0.25;sty.92;sty.92;0;01.wrz;2;0
D1;25.09.2004;M'gladbach;Hansa Rostock;2;2;D;2;0;H;19;12;23;29;11;9;4;4;0;0;sty.83;mar.25;mar.75;01.sie;03.kwi;4;sty.83;03.kwi;kwi.25;01.sie;03.sty;03.sie;01.sie;mar.25;mar.75;sty.85;mar.25;4;sty.83;03.lut;mar.75;sty.65;2;01.lip;02.sty;sty.55;02.mar;-0.25;01.sie;02.kwi;-0.5;1.825;2.075;-0.5
D1;25.09.2004;Nurnberg;Bielefeld;1;2;A;0;1;A;12;11;24;18;7;2;4;1;0;0;01.sie;mar.25;4;sty.75;03.kwi;04.mar;sty.83;mar.35;kwi.25;sty.85;03.sty;03.cze;sty.73;03.kwi;4;01.sie;03.kwi;4;sty.83;03.lut;mar.75;sty.79;01.wrz;sty.75;02.maj;sty.83;sty.87;-0.5;02.lut;sty.82;-0.75;2.025;1.875;-0.75
D1;25.09.2004;Stuttgart;Leverkusen;3;0;H;2;0;H;18;9;22;13;5;8;1;2;0;0;02.lut;mar.25;02.sie;lut.15;03.lut;03.sty;02.lut;03.mar;03.sty;02.lut;3;02.wrz;02.sty;03.lut;3;02.sty;mar.25;03.lut;02.sty;03.sty;03.sty;sty.75;sty.95;sty.75;02.maj;sty.55;02.mar;0;sty.92;sty.92;-0.25;2;01.wrz;-0.25
D1;25.09.2004;Wolfsburg;Kaiserslautern;2;1;H;1;0;H;18;16;19;23;6;3;1;5;0;0;sty.61;03.kwi;5;sty.65;03.maj;04.sie;01.lip;03.kwi;5;sty.65;03.mar;04.kwi;sty.62;03.maj;04.maj;sty.67;03.maj;kwi.75;01.lip;03.mar;kwi.33;sty.55;lut.25;sty.65;02.lut;02.maj;01.lip;-1;sty.76;02.sie;-0.75;01.sie;02.sty;-0.75
D1;26.09.2004;Hamburg;Hertha;2;1;H;1;1;D;23;18;18;21;8;5;3;4;0;0;02.sty;mar.25;3;02.lut;03.lut;3;02.lut;03.mar;03.sty;02.sty;3;03.sty;02.sty;03.lut;3;02.lut;03.lut;3;lut.15;03.sty;3;sty.75;sty.95;sty.75;02.maj;sty.55;02.mar;0;sty.88;sty.96;-0.25;1.925;1.975;-0.25
D1;26.09.2004;Mainz;Dortmund;1;1;D;0;1;A;22;15;13;17;8;4;1;2;0;0;lut.62;03.lut;lut.37;02.sie;mar.25;02.mar;lut.85;mar.25;lut.35;02.wrz;3;02.lut;02.cze;03.lut;lut.38;lut.88;03.lut;02.mar;lut.75;03.sty;02.mar;sty.65;2;sty.66;lut.15;01.sie;02.maj;0.25;sty.82;02.lut;0.25;01.sie;02.sty;0.25
D1;28.09.2004;Hannover;Bielefeld;0;1;A;0;0;D;17;10;18;13;4;7;2;2;0;0;sty.83;mar.25;mar.75;01.sie;03.kwi;4;sty.85;03.kwi;4;01.sie;03.sty;03.sie;sty.91;03.kwi;mar.25;sty.91;mar.25;mar.75;01.wrz;03.sty;03.cze;sty.71;2;;;sty.85;sty.84;-0.5;01.sie;02.kwi;-0.5;1.875;2.025;-0.5
D1;02.10.2004;Dortmund;Nurnberg;2;2;D;2;2;D;11;19;17;16;4;7;1;2;0;0;sty.57;03.kwi;05.maj;01.maj;03.wrz;05.cze;sty.55;03.lip;06.sty;01.maj;03.lip;5;sty.53;03.maj;05.maj;01.maj;03.cze;06.maj;sty.53;03.maj;05.maj;sty.65;2;sty.61;lut.25;02.mar;sty.57;-1.25;sty.84;2;-1;1.825;2.075;-1
D1;02.10.2004;Freiburg;Mainz;1;2;A;0;1;A;12;11;18;20;7;10;0;1;0;0;01.wrz;mar.25;03.maj;2;mar.25;03.kwi;2;mar.25;03.lip;01.wrz;03.sty;03.maj;sty.91;mar.25;03.kwi;2;03.lut;03.maj;01.wrz;03.sty;03.cze;sty.85;sty.85;sty.85;sty.95;sty.65;lut.15;-0.25;02.lut;sty.82;-0.5;02.maj;sty.85;-0.5
D1;02.10.2004;Hansa Rostock;Hannover;1;3;A;0;2;A;15;16;24;18;7;6;3;3;0;0;2;mar.25;mar.25;sty.95;03.mar;03.maj;02.maj;mar.25;03.maj;01.wrz;03.sty;03.maj;sty.91;03.lut;03.maj;02.sty;03.lut;mar.25;01.wrz;03.sty;03.cze;01.cze;02.sty;sty.66;lut.15;sty.75;2;-0.25;2;sty.84;-0.5;02.maj;sty.85;-0.5
D1;02.10.2004;Kaiserslautern;Hertha;0;2;A;0;1;A;13;11;21;23;6;5;2;4;0;0;2;mar.25;mar.25;02.sty;03.lut;03.lut;lut.15;03.lut;03.mar;2;03.sty;03.lut;02.sty;03.lut;3;02.sty;03.lut;mar.25;02.sty;03.sty;03.sty;sty.75;sty.95;01.lip;02.sty;01.maj;lut.45;0;sty.96;sty.88;-0.25;1.925;1.975;-0.25
D1;02.10.2004;Leverkusen;Hamburg;3;0;H;1;0;H;14;15;15;18;3;4;2;2;0;0;sty.61;03.kwi;5;01.maj;03.wrz;05.cze;sty.57;03.cze;06.sty;sty.65;03.mar;04.kwi;sty.57;03.maj;5;sty.57;03.cze;05.maj;sty.57;03.mar;05.maj;01.cze;lut.15;sty.61;lut.25;02.mar;sty.55;-1.25;2;sty.84;-1;02.maj;sty.85;-1
D1;02.10.2004;Werder Bremen;Bayern Munich;1;2;A;0;1;A;16;8;15;30;6;6;3;4;0;0;lut.37;03.lut;lut.62;02.kwi;03.mar;02.cze;02.maj;mar.25;02.lip;02.maj;3;02.maj;02.kwi;mar.25;02.maj;02.maj;03.lut;02.cze;02.kwi;03.sty;02.cze;sty.65;2;01.lip;02.sty;02.lut;01.cze;-0.25;;;;01.wrz;2;0
D1;02.10.2004;Wolfsburg;M'gladbach;2;1;H;2;1;H;13;11;22;20;8;3;0;4;0;0;sty.61;03.kwi;5;sty.65;03.maj;04.sie;01.lip;03.kwi;05.sty;sty.65;03.mar;04.kwi;sty.57;03.maj;5;sty.62;03.cze;5;sty.57;03.maj;5;01.cze;lut.15;sty.57;02.mar;sty.85;2;-0.75;sty.86;sty.98;-0.75;1.875;2.025;-0.75
D1;03.10.2004;Bielefeld;Stuttgart;0;2;A;0;1;A;8;12;9;22;6;3;0;0;0;0;mar.25;mar.25;2;03.lip;03.mar;01.wrz;03.maj;mar.25;02.maj;03.maj;03.sty;01.wrz;03.lut;03.lut;2;03.maj;03.lut;2;3;03.sty;lut.15;sty.75;sty.95;01.wrz;01.wrz;02.sty;sty.67;0.25;sty.88;sty.96;0.5;sty.85;02.maj;0.5
D1;03.10.2004;Schalke 04;Bochum;3;2;H;3;0;H;17;19;16;20;4;8;4;3;1;0;01.wrz;mar.25;03.maj;sty.75;03.kwi;04.lut;01.sie;03.mar;04.maj;01.sie;03.sty;03.sie;sty.91;03.lut;03.maj;sty.83;03.mar;4;01.sie;03.sty;4;sty.65;02.maj;sty.61;lut.25;01.maj;lut.45;-0.25;01.sie;02.kwi;-0.5;1.825;2.075;-0.5
D1;16.10.2004;Bayern Munich;Schalke 04;0;1;A;0;0;D;8;9;22;17;8;3;3;3;0;0;sty.57;03.kwi;05.maj;01.maj;03.wrz;05.cze;sty.55;03.sie;maj.85;01.maj;03.lip;5;01.maj;03.kwi;6;01.maj;mar.75;6;sty.53;03.maj;05.maj;sty.55;lut.25;sty.61;lut.25;2;01.sie;-1;02.kwi;01.sie;-1;2.075;1.825;-1
D1;16.10.2004;Bochum;Hansa Rostock;0;1;A;0;0;D;16;16;19;20;7;7;2;3;0;0;01.sie;mar.25;4;01.sie;03.kwi;4;sty.85;mar.35;kwi.15;01.sie;03.sty;03.sie;01.sie;mar.25;mar.75;sty.75;03.kwi;kwi.33;sty.83;03.lut;mar.75;01.cze;lut.15;sty.66;lut.15;sty.85;sty.85;-0.5;02.gru;sty.72;-0.75;lut.15;sty.75;-0.75
D1;16.10.2004;Hamburg;Bielefeld;0;2;A;0;0;D;23;11;19;16;6;4;3;1;0;0;sty.72;mar.25;kwi.33;01.lip;03.maj;04.kwi;sty.73;03.kwi;kwi.85;sty.75;03.lut;4;sty.73;03.kwi;4;sty.75;03.kwi;kwi.33;sty.72;03.lut;kwi.33;01.cze;lut.15;sty.65;02.lut;02.sty;sty.67;-1;sty.88;sty.96;-0.75;1.875;2.025;-0.75
D1;16.10.2004;Hertha;Leverkusen;3;1;H;1;0;H;13;9;19;20;4;0;4;2;0;0;lut.37;03.lut;lut.62;02.mar;03.lut;02.sie;lut.47;03.lut;lut.75;02.kwi;02.wrz;02.lip;02.kwi;mar.25;02.maj;02.kwi;03.lut;02.lip;lut.37;3;02.lip;sty.71;2;sty.65;02.lut;sty.72;2;0;lut.14;01.lip;-0.25;lut.15;sty.75;-0.25
D1;16.10.2004;Mainz;Werder Bremen;2;1;H;0;0;D;14;11;17;21;5;3;1;3;0;0;lut.75;mar.25;lut.25;03.sty;03.mar;02.sty;03.sty;03.mar;02.lut;02.wrz;3;02.lut;lut.75;03.lut;lut.25;02.sie;mar.25;02.mar;02.sie;03.sty;lut.25;01.cze;lut.15;sty.66;lut.15;2;01.sie;0.25;2;sty.84;0.25;2;01.wrz;0.25
D1;16.10.2004;Nurnberg;Freiburg;3;0;H;1;0;H;13;4;20;14;3;4;4;1;0;0;01.wrz;mar.25;03.maj;01.wrz;mar.25;03.lip;sty.95;mar.25;mar.85;01.wrz;03.sty;03.maj;sty.91;03.lut;03.maj;sty.91;mar.25;mar.75;sty.95;03.sty;03.maj;sty.65;02.maj;01.sie;2;sty.95;sty.76;-0.5;;;;1.975;1.925;-0.5
D1;16.10.2004;Stuttgart;Dortmund;2;0;H;0;0;D;18;11;18;23;4;5;2;4;0;0;sty.83;mar.25;mar.75;sty.85;03.mar;mar.85;sty.88;mar.35;4;01.wrz;03.sty;03.maj;01.sie;mar.25;mar.75;sty.91;mar.25;mar.75;01.sie;03.sty;4;sty.71;2;01.sie;2;sty.65;lut.15;-0.25;sty.88;sty.96;-0.5;sty.95;sty.95;-0.5
D1;17.10.2004;Hannover;Wolfsburg;3;0;H;1;0;H;12;12;14;14;5;8;0;3;0;0;02.maj;03.lut;02.maj;02.maj;03.mar;02.maj;lut.68;03.lut;lut.55;02.lip;02.wrz;02.kwi;02.maj;mar.25;02.kwi;02.cze;03.lut;02.maj;02.cze;03.sty;02.kwi;sty.65;02.maj;01.lip;02.sty;sty.95;sty.85;0;2;sty.84;0;2.025;1.875;0
D1;17.10.2004;M'gladbach;Kaiserslautern;2;0;H;0;0;D;13;8;9;27;7;3;1;3;1;1;01.wrz;mar.25;03.maj;01.wrz;mar.25;03.lip;sty.95;mar.25;mar.85;01.wrz;03.sty;03.maj;sty.91;mar.25;03.kwi;sty.95;mar.25;03.cze;2;03.sty;03.mar;01.cze;lut.15;sty.66;lut.15;sty.95;sty.76;-0.5;sty.86;sty.98;-0.5;1.875;2.025;-0.5
D1;23.10.2004;Bielefeld;Hertha;1;0;H;1;0;H;11;13;19;19;6;1;1;1;0;0;lut.37;03.lut;lut.62;lut.55;mar.15;lut.55;02.maj;03.lut;lut.75;02.maj;3;02.maj;02.kwi;mar.25;02.maj;02.maj;03.sty;lut.62;lut.37;03.sty;lut.62;sty.85;sty.85;sty.85;sty.95;01.wrz;01.wrz;0;sty.96;sty.88;0;1.975;1.925;0
D1;23.10.2004;Dortmund;Hamburg;0;2;A;0;1;A;19;8;13;23;4;0;0;5;0;0;sty.61;03.cze;04.maj;sty.65;03.maj;04.sie;sty.65;03.cze;05.sty;01.cze;03.kwi;04.cze;sty.62;03.maj;04.maj;sty.57;03.cze;05.maj;sty.61;03.mar;5;sty.55;lut.25;sty.61;lut.25;02.maj;sty.75;-1;02.cze;sty.78;-1;02.sty;01.sie;-1
D1;23.10.2004;Hansa Rostock;Bayern Munich;0;2;A;0;0;D;8;14;17;24;5;11;1;2;1;1;kwi.33;mar.25;sty.72;04.kwi;03.maj;01.lip;kwi.65;03.kwi;sty.75;4;03.lut;sty.75;4;03.kwi;sty.73;kwi.33;03.kwi;sty.73;04.lut;mar.25;sty.72;sty.65;02.maj;sty.65;02.lut;01.wrz;01.wrz;0.75;sty.92;sty.92;0.75;1.975;1.925;0.75
D1;23.10.2004;Kaiserslautern;Leverkusen;0;0;D;0;0;D;14;16;25;18;7;3;2;0;0;0;02.lip;03.lut;02.mar;02.cze;03.mar;02.kwi;lut.85;03.mar;lut.35;02.wrz;3;02.lut;02.cze;03.lut;lut.38;lut.75;03.lut;lut.38;02.maj;03.sty;02.maj;01.cze;lut.15;sty.61;lut.25;2;01.sie;0;02.kwi;01.sie;0;02.sty;01.sie;0
D1;23.10.2004;M'gladbach;Hannover;0;2;A;0;2;A;14;8;14;20;6;3;1;2;0;0;01.wrz;mar.25;03.maj;sty.95;03.lut;03.cze;2;mar.25;03.lip;01.wrz;03.sty;03.maj;sty.91;03.lut;03.maj;2;03.lut;03.maj;sty.95;03.lut;03.mar;01.cze;lut.15;sty.61;lut.25;2;sty.73;-0.5;sty.74;02.sty;-0.25;2.075;1.825;-0.5
D1;23.10.2004;Werder Bremen;Nurnberg;4;1;H;2;0;H;19;8;24;20;5;1;1;1;0;0;sty.53;mar.75;5;sty.55;03.lip;05.mar;sty.55;mar.65;cze.25;sty.55;03.maj;04.sie;01.maj;03.kwi;6;01.maj;mar.75;6;sty.53;03.maj;05.maj;sty.55;lut.25;sty.61;lut.25;sty.85;sty.95;-1;sty.92;sty.92;-1;1.925;1.975;-1
D1;23.10.2004;Wolfsburg;Bochum;3;0;H;3;0;H;21;15;11;16;6;1;2;1;0;0;sty.66;03.kwi;04.maj;01.lip;03.maj;04.kwi;sty.65;03.maj;maj.25;01.lip;03.lut;04.lut;sty.62;03.maj;04.maj;sty.62;03.maj;5;01.cze;03.kwi;04.sie;sty.55;lut.25;sty.61;lut.25;2;01.sie;-1;02.sie;sty.76;-1;2.075;1.825;-1
D1;24.10.2004;Freiburg;Stuttgart;2;0;H;1;0;H;13;10;23;14;2;4;0;1;0;1;4;mar.25;01.sie;mar.75;mar.25;01.wrz;mar.85;mar.35;01.wrz;03.maj;03.sty;01.wrz;03.cze;mar.25;sty.83;kwi.33;03.kwi;sty.75;mar.75;03.lut;sty.83;sty.75;sty.95;01.sie;2;sty.79;01.wrz;0.5;02.lut;sty.82;0.5;2.075;1.825;0.5
D1;24.10.2004;Schalke 04;Mainz;2;1;H;1;0;H;18;18;26;24;7;4;3;3;0;0;sty.66;03.kwi;04.maj;sty.65;03.maj;04.sie;sty.65;03.cze;05.sty;sty.55;03.maj;04.sie;sty.67;03.kwi;kwi.33;sty.57;03.kwi;6;sty.57;03.maj;5;01.cze;lut.15;01.lip;02.sty;2;01.sie;-1;02.sie;sty.76;-1;2.175;1.725;-1
D1;26.10.2004;Bayern Munich;Wolfsburg;2;0;H;2;0;H;26;11;11;14;6;3;1;1;0;0;sty.57;03.kwi;05.maj;01.maj;03.sie;05.sie;sty.55;03.lip;6;sty.45;03.sie;05.kwi;sty.53;03.maj;05.maj;sty.53;03.cze;6;sty.53;03.maj;05.maj;sty.65;02.maj;;;02.maj;sty.77;-1;02.sie;sty.76;-1;2.075;1.825;-1
D1;26.10.2004;Bochum;M'gladbach;3;0;H;0;0;D;15;16;24;20;3;5;2;6;0;1;2;mar.25;mar.25;sty.95;03.mar;03.maj;sty.95;03.mar;03.sie;2;3;03.mar;2;03.lut;03.lut;2;03.lut;03.maj;2;03.sty;03.mar;sty.65;02.maj;;;sty.95;sty.77;-0.5;sty.96;sty.88;-0.5;1.975;1.925;-0.5
D1;26.10.2004;Hannover;Kaiserslautern;3;1;H;1;1;D;13;9;11;17;6;1;0;4;0;0;01.sie;mar.25;4;01.sie;03.kwi;4;01.sie;03.mar;04.maj;01.sie;03.sty;03.sie;sty.73;03.lut;kwi.33;sty.73;03.kwi;04.maj;01.lip;03.mar;kwi.33;01.cze;lut.15;;;01.sie;01.wrz;-0.5;sty.94;01.wrz;-0.5;1.875;2.025;-0.5
D1;26.10.2004;Hertha;Dortmund;0;1;A;0;1;A;16;18;16;18;9;2;2;1;0;0;02.sty;mar.25;3;2;03.mar;03.kwi;lut.15;03.mar;03.lut;02.sty;3;03.sty;02.sty;03.lut;3;02.sty;03.lut;mar.25;sty.95;03.lut;03.mar;sty.75;sty.95;;;01.wrz;01.wrz;-0.25;sty.98;sty.86;-0.25;1.975;1.925;-0.25
D1;27.10.2004;Hamburg;Freiburg;4;0;H;2;0;H;21;2;16;11;5;1;1;1;0;1;sty.66;03.kwi;04.maj;01.cze;03.lip;04.sie;sty.65;mar.45;maj.25;sty.65;03.mar;04.kwi;sty.67;mar.25;04.maj;sty.67;03.maj;kwi.75;sty.66;03.mar;04.maj;01.cze;lut.15;01.cze;02.lut;sty.85;sty.95;-0.75;sty.78;02.cze;-0.75;01.sie;02.sty;-0.75
D1;27.10.2004;Leverkusen;Bielefeld;3;2;H;0;1;A;18;9;11;11;7;6;2;1;0;0;sty.57;03.kwi;05.maj;01.maj;03.sie;05.sie;sty.55;03.lip;6;sty.55;03.maj;04.sie;sty.53;03.maj;05.maj;sty.57;03.cze;05.maj;sty.57;03.mar;05.maj;01.cze;lut.15;01.cze;02.lut;sty.85;sty.95;-1;sty.86;sty.98;-1;01.wrz;2;-1
D1;27.10.2004;Mainz;Hansa Rostock;3;1;H;0;0;D;22;5;24;32;1;6;1;3;0;0;01.sie;mar.25;4;01.sie;03.kwi;4;01.wrz;03.mar;4;01.wrz;03.sty;03.maj;sty.83;03.lut;mar.75;01.sie;03.mar;04.lut;01.sie;03.mar;mar.75;sty.65;02.maj;01.lip;02.sty;sty.95;sty.76;-0.5;2;sty.84;-0.5;02.maj;sty.85;-0.5
D1;27.10.2004;Nurnberg;Schalke 04;0;2;A;0;2;A;9;11;18;19;5;8;4;3;2;0;02.cze;03.lut;02.kwi;02.maj;03.mar;02.maj;lut.55;mar.35;lut.55;02.sie;02.wrz;02.mar;02.kwi;mar.25;02.maj;02.cze;03.lut;02.maj;02.maj;03.sty;02.maj;sty.71;2;sty.65;lut.15;2;01.sie;0;02.cze;sty.78;0;2.125;1.775;0
D1;27.10.2004;Stuttgart;Werder Bremen;1;2;A;1;0;H;14;10;25;21;7;4;3;5;0;1;sty.83;mar.25;mar.75;sty.85;03.mar;mar.85;2;mar.25;03.lip;01.wrz;03.sty;03.maj;sty.91;mar.25;03.kwi;sty.91;mar.25;mar.75;01.sie;03.mar;mar.75;sty.65;02.maj;;;2;sty.73;-0.5;02.kwi;01.sie;-0.5;2.075;1.825;-0.5
D1;30.10.2004;Dortmund;Leverkusen;1;0;H;1;0;H;14;16;24;12;5;5;1;4;0;1;lut.25;mar.25;lut.75;02.lut;03.mar;02.wrz;lut.25;mar.35;lut.95;02.lut;3;02.wrz;02.sty;03.lut;3;02.lut;mar.25;3;02.lut;03.lut;02.sie;sty.65;02.maj;sty.61;lut.25;sty.95;sty.85;-0.25;sty.92;sty.92;-0.25;1.875;2.025;-0.25
D1;30.10.2004;Freiburg;Hertha;1;3;A;1;1;D;12;26;13;17;6;12;4;5;0;1;lut.37;03.lut;lut.62;02.maj;03.mar;02.maj;02.maj;03.mar;lut.62;02.maj;3;02.maj;02.lut;mar.25;lut.75;02.kwi;03.lut;02.lip;lut.37;03.sty;lut.62;sty.79;01.wrz;01.sie;2;01.wrz;01.wrz;0;sty.96;sty.88;0;2.075;1.825;0
D1;30.10.2004;Hannover;Bochum;3;0;H;1;0;H;22;12;16;15;7;3;0;1;0;0;01.sie;mar.25;4;sty.85;03.mar;mar.85;01.wrz;mar.25;04.sty;sty.85;03.sty;03.cze;01.sie;mar.25;mar.75;sty.85;mar.25;4;sty.83;03.lut;mar.75;01.cze;lut.15;01.cze;02.mar;01.wrz;sty.81;-0.5;sty.94;01.wrz;-0.5;1.925;1.972;-0.5
D1;30.10.2004;M'gladbach;Bayern Munich;2;0;H;0;0;D;12;16;18;13;3;5;2;2;0;1;04.maj;03.kwi;sty.66;04.mar;03.kwi;sty.75;04.maj;03.maj;sty.75;03.sie;03.sty;01.sie;kwi.33;03.kwi;sty.67;04.maj;03.kwi;sty.73;kwi.33;03.mar;01.lip;sty.71;2;01.lip;02.sty;sty.97;sty.75;0.5;02.sie;sty.76;0.5;2.125;1.775;0.5
D1;30.10.2004;Schalke 04;Stuttgart;3;2;H;3;2;H;12;18;26;23;6;6;3;2;0;0;02.sty;mar.25;3;02.lut;03.mar;02.wrz;02.lut;03.mar;03.sty;02.sty;3;03.sty;02.lut;03.lut;02.sie;lut.25;03.sty;3;02.sty;03.lut;3;sty.75;sty.95;sty.75;02.maj;sty.85;sty.95;-0.25;sty.82;02.lut;-0.25;1.825;2.075;-0.25
D1;30.10.2004;Werder Bremen;Hamburg;1;1;D;0;1;A;20;3;16;33;9;2;1;5;0;0;sty.61;03.kwi;5;sty.65;03.maj;04.sie;sty.65;03.maj;maj.25;01.lip;03.lut;04.lut;sty.53;03.maj;05.maj;sty.57;03.cze;05.maj;sty.57;03.mar;05.maj;sty.55;lut.25;sty.57;lut.35;sty.85;sty.95;-0.75;sty.82;02.lut;-0.75;sty.85;02.maj;-0.75
