Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;15.05.2004;Sochaux;Le Mans;3;0;H;1;0;H;02.sty;03.maj;lut.75;02.sty;mar.35;lut.85;02.mar;3;02.lip;;;;02.sty;03.kwi;02.sie;02.sty;03.kwi;02.sie;02.lut;03.kwi;lut.62;2;sty.65;02.sty;sty.54;-0.5;;;
F1;15.05.2004;Toulouse;Marseille;2;1;H;1;1;D;sty.61;03.maj;04.maj;;;;01.cze;03.kwi;04.cze;;;;;;;sty.61;03.kwi;kwi.75;sty.61;03.maj;04.maj;;;;;;;;
F1;21.05.2004;Bordeaux;Monaco;1;3;A;1;1;D;lut.87;lut.75;02.maj;03.maj;lut.65;lut.35;;;;;;;3;lut.75;lut.38;3;lut.75;lut.37;lut.87;lut.62;02.maj;;;;;;;;
F1;23.05.2004;Ajaccio;Metz;3;1;H;2;1;H;sty.44;mar.75;06.maj;sty.45;03.lip;6;sty.45;03.sie;05.kwi;;;;01.maj;mar.75;05.maj;01.maj;mar.75;05.maj;sty.44;4;05.maj;;;sty.45;lut.29;-0.5;;;
F1;23.05.2004;Bastia;Paris SG;0;1;A;0;0;D;03.cze;2.875;2;03.maj;lut.85;02.sty;;;;;;;03.cze;02.sie;02.sty;03.cze;02.sie;02.sty;;;;;;sty.61;lut.55;0.5;;;
F1;23.05.2004;Le Mans;Lens;3;0;H;1;0;H;01.sie;03.maj;03.cze;01.sie;mar.35;03.cze;02.sty;03.mar;02.sie;;;;01.sie;03.maj;03.cze;01.sie;03.maj;03.cze;01.sie;03.maj;03.maj;;;01.sie;sty.74;-0.5;;;
F1;23.05.2004;Lyon;Lille;3;0;H;1;0;H;sty.44;mar.75;06.maj;sty.45;03.maj;06.maj;01.maj;03.mar;05.sie;;;;sty.44;03.cze;7;sty.44;03.cze;7;sty.44;03.kwi;7;;;sty.45;lut.28;-0.5;;;
F1;23.05.2004;Marseille;Guingamp;2;1;H;2;0;H;02.kwi;03.maj;02.kwi;lut.45;03.maj;02.mar;02.mar;03.lut;02.maj;;;;02.lut;03.cze;02.mar;02.maj;03.cze;02.mar;lut.37;03.maj;lut.37;;;sty.44;02.mar;0.5;;;
F1;23.05.2004;Nantes;Sochaux;3;1;H;2;0;H;lut.25;mar.25;lut.75;lut.35;03.sty;lut.65;02.sty;02.wrz;03.lut;;;;02.lut;03.lut;lut.88;02.lut;03.lut;lut.87;;;;;;lut.35;sty.43;-0.5;;;
F1;23.05.2004;Nice;Auxerre;1;1;D;0;0;D;lut.87;3;02.mar;lut.75;03.sty;lut.25;02.lip;02.wrz;02.kwi;;;;02.sie;03.sty;02.mar;02.sie;03.sty;02.mar;02.kwi;03.sty;02.cze;;;sty.46;lut.25;0.5;;;
F1;23.05.2004;Rennes;Montpellier;4;0;H;2;0;H;sty.44;mar.75;06.maj;sty.45;03.maj;06.maj;sty.45;03.sie;05.kwi;;;;sty.44;mar.75;06.maj;sty.44;mar.75;06.maj;01.maj;03.kwi;6;;;sty.45;lut.28;-0.5;;;
F1;23.05.2004;Strasbourg;Toulouse;0;0;D;0;0;D;mar.25;mar.25;2;mar.15;03.lut;2;02.lip;03.lut;02.lut;;;;03.kwi;03.kwi;sty.91;03.kwi;03.kwi;01.wrz;mar.25;03.kwi;01.wrz;;;sty.59;2;0.5;;;
