Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;10.04.2004;Nantes;Bastia;1;1;D;0;0;D;1.727;mar.25;4.333;sty.65;03.mar;5;01.lip;03.lut;04.lut;1.727;03.lut;4.333;01.lip;03.lut;kwi.75;01.lip;03.lut;kwi.75;sty.66;03.mar;04.maj;02.sty;01.cze;01.sie;2;-0.75;1.925;1.975;-0.75
F1;10.04.2004;Nice;Paris SG;1;2;A;1;0;H;2.625;03.lut;2.375;lut.65;03.sty;lut.42;3;02.lip;02.mar;lut.75;3;2.375;lut.62;3;02.maj;lut.62;3;02.maj;02.lip;3;lut.37;02.mar;01.maj;sty.77;02.maj;0.25;1.775;2.125;0.25
F1;10.04.2004;Sochaux;Guingamp;2;0;H;0;0;D;1.571;03.kwi;05.maj;01.cze;03.kwi;maj.25;sty.55;03.maj;04.sie;1.571;03.maj;5;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;01.maj;03.kwi;6;2;sty.65;sty.77;02.maj;-0.75;1.775;2.125;-0.75
F1;11.04.2004;Strasbourg;Lyon;0;1;A;0;0;D;03.kwi;mar.25;02.sty;03.maj;03.lut;sty.95;03.cze;3;01.wrz;3;03.lut;02.sty;03.kwi;03.sty;2;03.kwi;03.sty;2;03.cze;03.mar;sty.83;sty.95;sty.75;sty.67;sty.95;0.5;sty.85;02.maj;0.5
F1;16.04.2004;Guingamp;Metz;1;1;D;1;1;D;2;3;03.maj;sty.92;03.sty;mar.65;02.sty;02.wrz;03.lut;sty.91;03.lut;03.maj;2;03.sty;03.kwi;2;03.sty;03.kwi;sty.83;03.lut;mar.75;lut.25;sty.55;sty.92;sty.68;-0.5;1.775;2.125;-0.25
F1;18.04.2004;Marseille;Lille;2;1;H;1;1;D;1.727;mar.25;4.333;01.lip;mar.25;04.maj;01.lip;03.sty;04.kwi;sty.67;mar.25;04.maj;sty.67;03.lut;kwi.75;sty.72;03.lut;04.maj;sty.66;03.mar;04.maj;02.maj;sty.65;2;01.sie;-0.75;02.sty;01.sie;-0.75
F1;18.04.2004;Rennes;Bordeaux;3;1;H;1;0;H;02.sty;mar.25;3;2;3;03.maj;2;02.wrz;03.kwi;2;03.lut;03.lut;02.sty;3;03.sty;02.lut;3;03.sty;01.wrz;03.sty;03.cze;lut.25;sty.55;01.sie;2;-0.25;01.sie;02.sty;-0.25
F1;24.04.2004;Auxerre;Sochaux;2;1;H;0;0;D;2;3;03.maj;sty.91;03.sty;mar.75;01.wrz;3;03.cze;sty.91;03.lut;03.maj;sty.91;03.lut;03.cze;01.wrz;03.lut;03.cze;01.wrz;03.sty;03.cze;2;sty.65;sty.91;01.lip;-0.5;1.925;1.975;-0.5
F1;24.04.2004;Bastia;Bordeaux;0;2;A;0;1;A;02.lut;3;03.sty;lut.15;02.wrz;mar.15;01.wrz;3;03.cze;2;03.lut;03.lut;02.sty;lut.88;03.kwi;02.sty;lut.87;03.kwi;2;3;03.kwi;02.lut;sty.55;01.sie;2;-0.5;01.wrz;2;-0.5
F1;24.04.2004;Guingamp;Lens;1;0;H;1;0;H;02.lut;3;03.sty;lut.15;3;mar.15;2;3;03.mar;02.sty;03.lut;3;02.sty;03.sty;03.lut;02.sty;03.sty;03.lut;02.sty;03.sty;03.sty;02.sty;01.cze;sty.75;02.maj;-0.5;01.sie;02.sty;-0.5
F1;24.04.2004;Lille;Strasbourg;0;1;A;0;1;A;sty.83;mar.25;mar.75;sty.85;mar.15;03.wrz;01.wrz;3;03.cze;01.sie;mar.25;mar.75;sty.83;mar.25;mar.75;sty.85;03.lut;mar.75;01.sie;03.sty;4;02.lut;sty.55;sty.85;sty.74;-0.5;02.sty;01.sie;-0.5
F1;24.04.2004;Lyon;Rennes;3;0;H;0;0;D;01.kwi;mar.75;07.maj;sty.35;04.sty;lip.75;01.mar;4;08.maj;01.mar;4;9;sty.36;4;07.maj;sty.36;4;07.maj;sty.36;mar.75;8;sty.83;sty.83;2;01.sie;-1.5;01.sie;02.sty;-1.25
F1;24.04.2004;Metz;Nice;1;0;H;0;0;D;02.sty;3;mar.25;02.sty;02.wrz;03.kwi;02.sty;02.wrz;03.lut;02.sty;03.lut;3;2;3;03.maj;2;3;03.maj;2;lut.87;03.cze;02.mar;01.maj;sty.75;02.maj;-0.5;01.sie;02.sty;-0.5
F1;24.04.2004;Monaco;Nantes;0;1;A;0;0;D;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;sty.55;03.kwi;5;01.maj;03.cze;05.maj;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;sty.53;03.kwi;05.maj;2;sty.71;02.maj;sty.75;-1;2.025;1.875;-1
F1;24.04.2004;Montpellier;Le Mans;0;3;A;0;3;A;01.sie;mar.25;4;01.sie;mar.15;04.lut;sty.75;03.lut;4;01.sie;03.lut;4;01.sie;03.lut;4;01.sie;03.lut;4;sty.72;03.lut;kwi.33;02.lut;sty.55;01.sie;01.sie;-0.5;sty.85;02.maj;-0.5
F1;24.04.2004;Toulouse;Ajaccio;3;1;H;1;0;H;2;3;03.maj;sty.95;03.sty;03.cze;2;3;03.mar;2;03.lut;03.lut;2;3;03.maj;2;3;03.maj;2;3;03.kwi;02.lut;sty.55;sty.95;sty.67;-0.5;2.075;1.825;-0.5
